"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.569563700E-2,-1.471236944E0,3.487154722E0,9.943717957E0,1.063965756E1
2.818443900E-2,-1.394622445E0,3.444059134E0,1.006821632E1,1.073198467E1
3.067730400E-2,-1.298854470E0,3.357867956E0,1.016877270E1,1.078731840E1
3.317490800E-2,-1.246181965E0,3.333925962E0,1.025017643E1,1.085053679E1
3.567766800E-2,-1.193509579E0,3.281253338E0,1.027890682E1,1.085573646E1
3.818579300E-2,-1.164779186E0,3.247734547E0,1.026933002E1,1.083344956E1
4.069923100E-2,-1.131260276E0,3.219004154E0,1.022623444E1,1.078042709E1
4.321777300E-2,-1.073799491E0,3.199850559E0,1.016877270E1,1.071429079E1
4.574095000E-2,-1.049857497E0,3.151966572E0,1.010173512E1,1.063400895E1
4.826818900E-2,-1.035492182E0,3.113659382E0,1.004906273E1,1.057122417E1
5.079876200E-2,-1.035492182E0,3.094505787E0,1.000117874E1,1.052006589E1
5.333178300E-2,-1.030703783E0,3.075352192E0,9.924564362E0,1.044112634E1
5.586636600E-2,-1.064222693E0,3.099294186E0,9.809642792E0,1.034249903E1
5.840157500E-2,-1.140837073E0,3.094505787E0,9.685144424E0,1.023129991E1
6.093011600E-2,-1.231816769E0,3.084928989E0,9.493608475E0,1.005797004E1
6.344318900E-2,-1.294066072E0,3.080140591E0,9.292495728E0,9.874834171E0
6.595615800E-2,-1.332373261E0,3.089717388E0,9.163208008E0,9.761452404E0
6.846876200E-2,-1.351526856E0,3.080140591E0,9.081805229E0,9.684682603E0
7.098136600E-2,-1.389834046E0,3.099294186E0,9.057863235E0,9.673786721E0
7.349397000E-2,-1.432929754E0,3.099294186E0,9.053074837E0,9.675591772E0
7.600657500E-2,-1.466448545E0,3.104082584E0,9.043498039E0,9.673192690E0
7.851917900E-2,-1.504755735E0,3.099294186E0,9.014767647E0,9.650696866E0
8.103178300E-2,-1.538274646E0,3.080140591E0,9.000402451E0,9.636430834E0
