"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.467964900E-2,-2.127248287E0,4.837484360E0,8.349180222E0,9.881055135E0
2.718256600E-2,-2.069787264E0,4.794388771E0,8.401852608E0,9.892487566E0
2.968725400E-2,-2.021903276E0,4.756081581E0,8.411429405E0,9.872210973E0
3.219392000E-2,-1.983596087E0,4.712985992E0,8.425794601E0,9.856008577E0
3.470272200E-2,-1.940500498E0,4.669890404E0,8.435371399E0,9.835085623E0
3.721376400E-2,-1.902193308E0,4.631583214E0,8.449736595E0,9.821809964E0
3.972699300E-2,-1.883039594E0,4.593276024E0,8.449736595E0,9.800105676E0
4.224230600E-2,-1.863885999E0,4.578910828E0,8.478466988E0,9.814524840E0
4.475954500E-2,-1.849520802E0,4.535815239E0,8.473678589E0,9.787623609E0
4.727845100E-2,-1.863885999E0,4.511873245E0,8.483255386E0,9.787578513E0
4.979866000E-2,-1.849520802E0,4.473566055E0,8.483255386E0,9.767248456E0
5.231985800E-2,-1.863885999E0,4.444835663E0,8.468890190E0,9.744369458E0
5.484168100E-2,-1.854309201E0,4.420893669E0,8.464101791E0,9.727475653E0
5.736371200E-2,-1.844732404E0,4.406527996E0,8.473678589E0,9.727474258E0
5.988241000E-2,-1.830367208E0,4.377797604E0,8.435371399E0,9.678370039E0
6.239501400E-2,-1.844732404E0,4.363432407E0,8.425794601E0,9.666260636E0
6.490761800E-2,-1.844732404E0,4.358644009E0,8.425794601E0,9.664100056E0
6.742022200E-2,-1.892616391E0,4.282029629E0,8.377910614E0,9.597247564E0
6.993287900E-2,-1.873462796E0,4.329913616E0,8.358757019E0,9.598272432E0
7.244558700E-2,-1.787271619E0,4.392162800E0,8.377910614E0,9.626776208E0
7.495839900E-2,-1.792060018E0,4.425682068E0,8.368333817E0,9.634684828E0
7.747131600E-2,-1.835155606E0,4.454412460E0,8.392275810E0,9.676770109E0
7.998438900E-2,-1.859097600E0,4.492719650E0,8.406641006E0,9.711456469E0
8.249761800E-2,-1.873462796E0,4.540603638E0,8.353968620E0,9.691013154E0
8.501100400E-2,-1.935712099E0,4.535815239E0,8.215105057E0,9.581677948E0
8.752454500E-2,-1.945288897E0,4.574122429E0,8.138489723E0,9.536338913E0
9.003819100E-2,-1.911770105E0,4.602852821E0,8.181585312E0,9.580159563E0
9.255194100E-2,-1.873462796E0,4.554968834E0,8.157643318E0,9.529152556E0
9.506579500E-2,-1.892616391E0,4.502296448E0,8.128912926E0,9.483242877E0
9.757970100E-2,-1.916558504E0,4.535815239E0,8.143278122E0,9.516291029E0
1.000936600E-1,-1.926135302E0,4.598064423E0,8.229470253E0,9.621661721E0
1.026076180E-1,-2.055422068E0,4.626794815E0,8.239047050E0,9.670257827E0
1.051215760E-1,-2.088941097E0,4.641160011E0,8.258200645E0,9.700614365E0
1.076355350E-1,-2.007538080E0,4.665102005E0,8.195950508E0,9.641939151E0
1.101489200E-1,-1.930923700E0,4.617218018E0,8.162431717E0,9.574573625E0
1.126623060E-1,-1.878251195E0,4.593276024E0,8.210315704E0,9.593502809E0
1.151755870E-1,-1.859097600E0,4.473566055E0,8.229470253E0,9.549514008E0
1.176888160E-1,-1.940500498E0,4.320336819E0,8.248623848E0,9.511605952E0
1.202020450E-1,-2.031480074E0,4.243722439E0,8.239047050E0,9.487780970E0
1.227152740E-1,-1.950077295E0,4.339490414E0,8.301296234E0,9.567941141E0
1.252283990E-1,-1.868674397E0,4.430470467E0,8.349180222E0,9.634823451E0
1.277414720E-1,-1.820790410E0,4.411316395E0,8.387487411E0,9.650126172E0
1.302545450E-1,-1.897404790E0,4.258087635E0,8.421006203E0,9.625216918E0
1.327676180E-1,-1.926135302E0,4.195838451E0,8.411429405E0,9.595165561E0
1.352806910E-1,-1.897404790E0,4.277241230E0,8.444948196E0,9.654640724E0
1.377938160E-1,-1.902193308E0,4.349067211E0,8.425794601E0,9.670922379E0
1.403069930E-1,-1.988384485E0,4.291606426E0,8.330026627E0,9.579191103E0
1.428202220E-1,-2.199074268E0,4.200626850E0,8.291719437E0,9.551638854E0
1.453335040E-1,-2.199074268E0,4.258087635E0,8.272565842E0,9.560469839E0
1.478468370E-1,-2.098517895E0,4.267664433E0,8.229470253E0,9.504783938E0
1.503602220E-1,-2.017114878E0,4.210203648E0,8.181585312E0,9.419814510E0
1.528736600E-1,-1.926135302E0,4.133589268E0,8.128912926E0,9.320717933E0
1.553870970E-1,-1.839944005E0,4.109647274E0,8.138489723E0,9.301054222E0
1.579005350E-1,-1.744175911E0,4.147954464E0,8.186373711E0,9.341541113E0
1.604139720E-1,-1.681926727E0,4.219780445E0,8.234258652E0,9.404171418E0
1.629266810E-1,-1.667561531E0,4.286818027E0,8.262989044E0,9.456984625E0
1.654393890E-1,-1.681926727E0,4.310760021E0,8.330026627E0,9.528949212E0
1.679520970E-1,-1.686715126E0,4.349067211E0,8.449736595E0,9.651810299E0
1.704648060E-1,-1.686715126E0,4.396951199E0,8.545504570E0,9.757245314E0
1.729775140E-1,-1.686715126E0,4.420893669E0,8.612542152E0,9.826758930E0
1.754902740E-1,-1.653196216E0,4.349067211E0,8.574234962E0,9.755252356E0
1.780030870E-1,-1.595735431E0,4.339490414E0,8.564658165E0,9.732980946E0
