"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.264667700E-2,-2.012326479E0,3.233369350E0,8.689156532E0,9.487126881E0
3.515589500E-2,-1.921346903E0,3.295618534E0,8.602965355E0,9.410828249E0
3.766683300E-2,-1.844732404E0,3.333925962E0,8.717886925E0,9.514181646E0
4.017954100E-2,-1.792060018E0,3.405751944E0,8.828020096E0,9.630397926E0
4.269396800E-2,-1.725022316E0,3.448847532E0,8.847173691E0,9.651048316E0
4.521001000E-2,-1.686715126E0,3.472789526E0,8.837596893E0,9.644085952E0
4.772751000E-2,-1.681926727E0,3.477577925E0,8.799289703E0,9.609886837E0
5.024620800E-2,-1.681926727E0,3.482366323E0,8.799289703E0,9.611620676E0
5.276584300E-2,-1.672349930E0,3.463212729E0,8.813654900E0,9.616189962E0
5.528615600E-2,-1.667561531E0,3.434482336E0,8.856750488E0,9.644607799E0
5.780683300E-2,-1.657984734E0,3.400963545E0,8.909422874E0,9.679529036E0
6.032756200E-2,-1.643619418E0,3.353079557E0,8.914211273E0,9.664770558E0
6.284329100E-2,-1.629254222E0,3.319560766E0,8.923788071E0,9.659603850E0
6.535678100E-2,-1.624465823E0,3.276464939E0,8.918999672E0,9.639640390E0
6.787027000E-2,-1.600523829E0,3.223792553E0,8.938153267E0,9.635616160E0
7.038376000E-2,-1.586158633E0,3.195062160E0,8.957306862E0,9.641455680E0
7.289725000E-2,-1.624465823E0,3.219004154E0,8.952518463E0,9.651345180E0
7.541073900E-2,-1.681926727E0,3.286041737E0,8.962095261E0,9.692579598E0
7.792422900E-2,-1.744175911E0,3.300406933E0,8.942941666E0,9.690770927E0
8.043771800E-2,-1.772906303E0,3.314772367E0,8.981248856E0,9.736207866E0
8.295120800E-2,-1.801636815E0,3.343502760E0,8.971672058E0,9.742474297E0
8.546469700E-2,-1.806425214E0,3.381809950E0,8.947730064E0,9.734561310E0
8.797818700E-2,-1.830367208E0,3.415328741E0,8.957306862E0,9.759511296E0
9.049172900E-2,-1.873462796E0,3.429693937E0,8.990825653E0,9.803448846E0
9.300532200E-2,-1.911770105E0,3.453635931E0,9.005190849E0,9.832391790E0
9.551891600E-2,-1.954865694E0,3.458424330E0,9.057863235E0,9.890757560E0
9.803256200E-2,-1.983596087E0,3.463212729E0,9.096170425E0,9.933217618E0
1.005462600E-1,-2.012326479E0,3.477577925E0,9.110535622E0,9.957151470E0
1.030600100E-1,-2.026691675E0,3.491943121E0,9.124900818E0,9.978224333E0
1.055737600E-1,-1.830367208E0,3.429693937E0,9.139266014E0,9.931728344E0
1.080875100E-1,-1.341950059E0,3.290830135E0,9.067440033E0,9.739038027E0
1.106012600E-1,-1.313219666E0,3.257311344E0,9.144054413E0,9.795323077E0
1.131149580E-1,-1.499967337E0,3.219004154E0,9.354744911E0,1.000615521E1
1.156281870E-1,-1.686715126E0,3.151966572E0,9.407417297E0,1.006376676E1
1.181412080E-1,-1.806425214E0,3.118447781E0,9.287707329E0,9.962399111E0
1.206542290E-1,-1.883039594E0,3.099294186E0,9.086593628E0,9.783539560E0
1.231672500E-1,-1.921346903E0,3.084928989E0,8.851962090E0,9.568991254E0
1.256802700E-1,-1.902193308E0,3.060986757E0,8.693944931E0,9.411304786E0
1.281933430E-1,-1.916558504E0,3.060986757E0,8.646060944E0,9.370016343E0
1.307064680E-1,-1.906981707E0,3.041833162E0,8.679579735E0,9.392786199E0
1.332196450E-1,-1.935712099E0,3.041833162E0,8.751405716E0,9.465032083E0
1.357328750E-1,-1.940500498E0,3.051409960E0,8.828020096E0,9.539946737E0
1.382461560E-1,-1.921346903E0,3.051409960E0,8.914211273E0,9.615915936E0
1.407594890E-1,-1.926135302E0,3.070563793E0,8.933364868E0,9.640714034E0
1.432728750E-1,-1.945288897E0,3.108870983E0,8.962095261E0,9.683407414E0
1.457863120E-1,-1.945288897E0,3.118447781E0,8.928576469E0,9.655482547E0
1.482998020E-1,-1.954865694E0,3.156754971E0,8.880692482E0,9.625658460E0
1.508133430E-1,-1.969230890E0,3.180696964E0,8.847173691E0,9.605580971E0
1.533268850E-1,-1.983596087E0,3.214215755E0,8.818443298E0,9.593267356E0
1.558404270E-1,-1.993172884E0,3.238157749E0,8.780136108E0,9.568134292E0
1.583539680E-1,-1.978807688E0,3.266888142E0,8.770559311E0,9.566135511E0
1.608675620E-1,-1.988384485E0,3.333925962E0,8.717886925E0,9.543075375E0
1.633812080E-1,-1.988384485E0,3.362656355E0,8.684368134E0,9.522572158E0
1.658949060E-1,-2.031480074E0,3.372233152E0,8.631695747E0,9.487098566E0
1.684086560E-1,-2.084152699E0,3.429693937E0,8.545504570E0,9.440982011E0
1.709224580E-1,-2.155978680E0,3.472789526E0,8.468890190E0,9.403755219E0
1.734362600E-1,-2.218227863E0,3.501519918E0,8.382699013E0,9.351514280E0
1.759500620E-1,-2.280477047E0,3.496731520E0,8.306084633E0,9.296168502E0
1.784638640E-1,-2.390610456E0,3.506308317E0,8.296507835E0,9.318865737E0
1.809776660E-1,-2.510320425E0,3.477577925E0,8.282142639E0,9.326797068E0
1.834914680E-1,-2.577358246E0,3.444059134E0,8.344391823E0,9.387928085E0
1.860052700E-1,-2.610877037E0,3.434482336E0,8.449736595E0,9.487380900E0
1.885190720E-1,-2.577358246E0,3.410540342E0,8.579023361E0,9.585103170E0
1.910328750E-1,-2.495955229E0,3.420117140E0,8.689156532E0,9.665838556E0
1.935466770E-1,-2.361880064E0,3.439270735E0,8.784924507E0,9.725325661E0
1.960603750E-1,-2.232593060E0,3.448847532E0,8.866327286E0,9.771938426E0
1.985740720E-1,-2.132036686E0,3.420117140E0,8.952518463E0,9.817859671E0
2.010876660E-1,-2.036268473E0,3.386598349E0,8.990825653E0,9.820915619E0
2.036009470E-1,-1.978807688E0,3.348291159E0,9.009979248E0,9.813585461E0
2.061141250E-1,-1.921346903E0,3.290830135E0,9.033921242E0,9.804737115E0
2.086273020E-1,-1.863885999E0,3.214215755E0,9.048286438E0,9.781448840E0
2.111404790E-1,-1.801636815E0,3.147178173E0,9.033921242E0,9.734595968E0
2.136536560E-1,-1.768117905E0,3.060986757E0,9.048286438E0,9.714286815E0
2.161668330E-1,-1.734599113E0,2.965218782E0,9.043498039E0,9.673996759E0
2.186800620E-1,-1.691503525E0,2.859874010E0,9.014767647E0,9.607606323E0
2.211933430E-1,-1.677138329E0,2.792836189E0,8.971672058E0,9.544821972E0
2.237066770E-1,-1.638831019E0,2.697068214E0,8.942941666E0,9.483467177E0
2.262200620E-1,-1.629254222E0,2.615665436E0,8.885480881E0,9.404676787E0
2.287335000E-1,-1.624465823E0,2.586935043E0,8.847173691E0,9.359679719E0
2.312469370E-1,-1.605312228E0,2.529474020E0,8.842385292E0,9.336115028E0
2.337603750E-1,-1.576581836E0,2.500743628E0,8.837596893E0,9.318929543E0
2.362738120E-1,-1.552639842E0,2.476801634E0,8.871115685E0,9.340338875E0
2.387872500E-1,-1.533486247E0,2.481590033E0,8.928576469E0,9.393047798E0
2.413006870E-1,-1.514332533E0,2.543839216E0,8.995614052E0,9.470237228E0
2.438141250E-1,-1.461660147E0,2.562992811E0,9.057863235E0,9.526293557E0
2.463275620E-1,-1.461660147E0,2.586935043E0,9.158419609E0,9.628360870E0
2.488410000E-1,-1.461660147E0,2.634819031E0,9.268553734E0,9.746015084E0
2.513544370E-1,-1.428141356E0,2.682703018E0,9.345168114E0,9.826934939E0
2.538678750E-1,-1.389834046E0,2.749740601E0,9.421782494E0,9.912754279E0
2.563813120E-1,-1.346738458E0,2.826355219E0,9.503185272E0,1.000562435E1
2.588947500E-1,-1.294066072E0,2.879027605E0,9.517550468E0,1.002732137E1
2.614081870E-1,-1.246181965E0,2.922123194E0,9.512762070E0,1.002917821E1
2.639216250E-1,-1.207874775E0,2.979583979E0,9.474454880E0,1.000510757E1
2.664350620E-1,-1.179144382E0,2.993949175E0,9.436147690E0,9.969703925E0
2.689483430E-1,-9.828197956E-1,3.113659382E0,9.364321709E0,9.917223934E0
2.714612600E-1,-8.678981066E-1,3.175908566E0,9.292495728E0,9.858504916E0
2.739741770E-1,-9.876081944E-1,3.171120167E0,9.163208008E0,9.746576530E0
2.764870930E-1,-1.140837073E0,3.171120167E0,8.990825653E0,9.601690386E0
2.790000100E-1,-1.021126986E0,3.195062160E0,8.909422874E0,9.519923239E0
2.815129270E-1,-8.822633028E-1,3.247734547E0,8.837596893E0,9.456705931E0
2.840258950E-1,-9.780313969E-1,3.266888142E0,8.703521729E0,9.347748072E0
2.865389160E-1,-1.088164687E0,3.223792553E0,8.622118950E0,9.269189608E0
2.890519890E-1,-1.270123959E0,3.185485363E0,8.612542152E0,9.270189545E0
2.915651140E-1,-1.351526856E0,2.970007181E0,8.741828918E0,9.330977459E0
2.940782910E-1,-1.404199243E0,2.797624588E0,8.918999672E0,9.452356002E0
2.965915200E-1,-1.538274646E0,2.831143618E0,8.938153267E0,9.501170817E0
2.991048020E-1,-1.662773132E0,2.845508814E0,8.933364868E0,9.521908567E0
3.016181350E-1,-1.768117905E0,2.845508814E0,8.918999672E0,9.527419193E0
3.041315200E-1,-1.921346903E0,2.725798607E0,8.952518463E0,9.553488305E0
3.066449580E-1,-2.285265446E0,2.333149672E0,9.110535622E0,9.678217029E0
3.091583950E-1,-2.476801634E0,2.146401882E0,9.316437721E0,9.876112554E0
3.116718330E-1,-2.524685621E0,2.088941097E0,9.484031677E0,1.003417008E1
3.141852700E-1,-2.519897223E0,2.045845270E0,9.680356026E0,1.021002731E1
3.166987080E-1,-2.457648039E0,2.012326479E0,9.881468773E0,1.037944685E1
3.192121450E-1,-2.352303267E0,2.007538080E0,1.009694672E1,1.055991822E1
3.217255830E-1,-2.184709072E0,2.007538080E0,1.019750404E1,1.062036965E1
3.242390200E-1,-2.002749681E0,2.045845270E0,1.022144604E1,1.061482210E1
3.267525100E-1,-1.772906303E0,2.122459888E0,1.021665764E1,1.058433399E1
3.292660520E-1,-1.519120932E0,2.232593060E0,1.012088871E1,1.047495052E1
3.317795930E-1,-1.203086376E0,2.337938070E0,9.958083153E0,1.029935878E1
3.342931350E-1,-8.966285586E-1,2.448071241E0,9.742605209E0,1.008540291E1
3.368066770E-1,-4.944026470E-1,2.558204412E0,9.565434456E0,9.913948765E0
3.393202180E-1,-2.513911761E-2,2.682703018E0,9.445724487E0,9.819329842E0
3.418337600E-1,5.015852451E-1,2.893392801E0,9.373898506E0,9.823099453E0
3.443473020E-1,1.047463298E0,3.108870983E0,9.287707329E0,9.850064242E0
3.468608430E-1,1.636436820E0,3.314772367E0,9.258976936E0,9.969668762E0
3.493743850E-1,2.048239470E0,3.372233152E0,9.215881348E0,1.002495438E1
3.518879270E-1,2.287659645E0,3.434482336E0,9.144054413E0,1.003208785E1
3.544014680E-1,2.364274263E0,3.477577925E0,9.067440033E0,9.995089283E0
3.569150100E-1,2.340332270E0,3.405751944E0,9.005190849E0,9.908065586E0
3.594283430E-1,2.215833664E0,3.204638958E0,8.909422874E0,9.724065283E0
3.619414680E-1,2.019509077E0,2.989160776E0,8.799289703E0,9.510047231E0
3.644544890E-1,1.813607812E0,2.788047791E0,8.622118950E0,9.241391614E0
3.669675100E-1,1.708262920E0,2.639607430E0,8.325238228E0,8.899173059E0
