"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.270270800E-2,-2.203862667E0,2.500743628E0,9.723451614E0,1.027892215E1
2.520317700E-2,-2.170343876E0,2.539050817E0,9.905410767E0,1.045343647E1
2.770458300E-2,-2.179920673E0,2.404975653E0,9.996390343E0,1.051017516E1
3.020734300E-2,-2.122459888E0,2.266111851E0,1.000596714E1,1.047661574E1
3.271177100E-2,-2.012326479E0,2.266111851E0,9.847949982E0,1.030372940E1
3.521812500E-2,-2.141613483E0,2.366668463E0,9.828796387E0,1.033406340E1
3.772661400E-2,-2.175132275E0,2.419340849E0,9.747393608E0,1.027599595E1
4.023734300E-2,-2.069787264E0,2.472013235E0,9.689932823E0,1.021223124E1
4.275031200E-2,-1.906981707E0,2.524685621E0,9.737816811E0,1.023893026E1
4.526541600E-2,-1.748964310E0,2.577358246E0,9.718663216E0,1.020558996E1
4.778250000E-2,-1.605312228E0,2.668337822E0,9.733028412E0,1.021904576E1
5.030135400E-2,-1.495178938E0,2.721010208E0,9.642048836E0,1.012958846E1
5.282166600E-2,-1.385045648E0,2.701856613E0,9.455301285E0,9.930815827E0
5.534312500E-2,-1.389834046E0,2.706645012E0,9.421782494E0,9.900886387E0
5.786531200E-2,-1.466448545E0,2.725798607E0,9.407417297E0,9.903532177E0
6.038786400E-2,-1.543063045E0,2.740163803E0,9.416994095E0,9.928208248E0
6.291041600E-2,-1.571793437E0,2.716221809E0,9.455301285E0,9.962485529E0
6.542406200E-2,-1.562216640E0,2.744952202E0,9.560646057E0,1.006882498E1
6.793734300E-2,-1.528697729E0,2.807201385E0,9.598953247E0,1.011717351E1
7.045062500E-2,-1.538274646E0,2.816778183E0,9.522338867E0,1.004865492E1
7.296390600E-2,-1.514332533E0,2.797624588E0,9.431359291E0,9.953413708E0
7.547703100E-2,-1.476025343E0,2.807201385E0,9.373898506E0,9.895908429E0
7.798968700E-2,-1.476025343E0,2.816778183E0,9.316437721E0,9.844231913E0
8.050234300E-2,-1.480813742E0,2.821566820E0,9.273342133E0,9.805555719E0
8.301500000E-2,-1.495178938E0,2.658761024E0,9.273342133E0,9.762143440E0
8.552765600E-2,-1.538274646E0,2.606088638E0,9.321226120E0,9.800165471E0
8.804031200E-2,-1.543063045E0,2.610877037E0,9.383475304E0,9.861406149E0
9.055286400E-2,-1.528697729E0,2.615665436E0,9.421782494E0,9.896898897E0
9.306541600E-2,-1.528697729E0,2.658761024E0,9.416994095E0,9.903822732E0
9.557796800E-2,-1.576581836E0,2.682703018E0,9.292495728E0,9.799641964E0
