timestamp_ms,ax,ay,az,gx,gy,gz,label
50740,-0.51,1.00,10.69,-0.04,-0.09,0.16,stairs
50760,0.16,1.20,10.32,-0.05,-0.14,0.16,stairs
50780,0.26,1.10,10.08,-0.09,-0.06,0.19,stairs
50800,0.19,1.02,10.07,-0.09,0.03,0.18,stairs
50820,-0.01,1.05,10.29,-0.12,0.04,0.20,stairs
50840,0.19,0.96,10.43,-0.13,0.07,0.19,stairs
50860,0.41,1.11,10.56,-0.07,0.05,0.23,stairs
50880,0.66,1.39,10.68,-0.10,0.18,0.21,stairs
50900,0.65,1.32,10.62,-0.09,0.24,0.25,stairs
50920,0.37,1.33,10.65,-0.06,0.23,0.29,stairs
50940,0.21,1.29,10.86,-0.05,0.21,0.41,stairs
50960,0.25,0.88,10.93,-0.03,0.15,0.47,stairs
50980,0.36,0.77,10.84,-0.02,0.10,0.47,stairs
51000,0.38,1.19,10.61,-0.03,0.08,0.37,stairs
51020,0.40,1.18,10.34,-0.05,0.03,0.38,stairs
51040,0.19,1.24,10.11,-0.09,0.07,0.32,stairs
51060,0.47,0.91,9.53,-0.12,-0.01,0.33,stairs
51080,0.14,0.62,9.48,-0.14,0.06,0.34,stairs
51100,0.63,0.45,9.33,-0.13,0.07,0.33,stairs
51120,0.65,0.31,9.44,-0.10,0.18,0.33,stairs
51140,0.23,0.51,9.87,-0.03,0.15,0.31,stairs
51160,0.47,0.56,10.11,0.02,0.07,0.25,stairs
51180,0.58,0.54,10.42,0.08,0.13,0.17,stairs
51200,0.32,0.73,10.94,0.13,0.18,0.11,stairs
51220,0.43,0.76,10.98,0.17,0.17,0.12,stairs
51240,0.32,0.40,10.84,0.18,0.14,0.12,stairs
51260,0.63,0.22,10.55,0.15,0.13,0.03,stairs
51280,0.09,0.40,10.77,0.14,0.02,0.07,stairs
51300,0.39,0.42,10.50,0.14,-0.02,0.09,stairs
51320,0.57,0.32,10.21,0.13,0.00,0.12,stairs
51340,0.43,0.38,10.15,0.12,0.07,0.08,stairs
51360,0.37,0.60,10.35,0.09,0.08,0.05,stairs
51380,0.47,0.53,10.35,0.07,0.05,0.11,stairs
51400,0.73,0.75,10.39,0.02,0.09,0.08,stairs
51420,0.84,0.56,10.39,-0.03,0.14,0.05,stairs
51440,0.45,0.24,10.59,-0.03,0.16,0.07,stairs
51460,0.40,0.21,10.74,0.02,0.11,0.03,stairs
51480,0.92,0.43,10.64,0.02,0.08,0.03,stairs
51500,1.09,0.60,10.61,0.00,0.10,0.02,stairs
51520,0.81,0.57,10.78,-0.06,0.17,-0.02,stairs
51540,0.89,0.81,10.87,-0.07,0.09,-0.04,stairs
51560,0.93,0.83,10.84,-0.09,0.13,-0.07,stairs
51580,0.87,1.02,10.78,-0.12,0.28,-0.09,stairs
51600,-0.49,1.08,11.36,-0.07,0.44,-0.18,stairs
51620,-1.61,1.48,11.85,-0.08,0.14,-0.08,stairs
51640,-0.88,0.95,10.97,-0.06,-0.24,0.06,stairs
51660,0.39,0.51,10.07,0.03,-0.30,0.04,stairs
51680,0.83,0.86,10.10,0.08,-0.09,0.00,stairs
51700,0.25,0.41,10.48,0.12,-0.02,0.02,stairs
51720,-0.37,0.70,11.00,0.25,0.16,-0.24,stairs
51740,-0.68,2.24,11.68,0.36,0.10,-0.22,stairs
51760,-0.84,2.22,11.37,0.25,-0.08,-0.04,stairs
51780,-1.44,1.58,10.99,0.16,0.17,-0.12,stairs
51800,-0.06,1.42,9.42,0.08,0.04,0.06,stairs
51820,-0.61,0.37,9.05,0.12,-0.02,-0.02,stairs
51840,-1.21,1.46,10.18,0.09,0.16,0.04,stairs
51860,-0.92,1.10,10.36,0.18,-0.12,0.17,stairs
51880,-1.59,1.00,10.90,0.19,-0.27,0.21,stairs
51900,-0.98,2.14,10.69,0.23,-0.31,0.12,stairs
51920,-1.14,2.76,11.03,0.10,-0.11,0.09,stairs
51940,-0.89,2.36,10.69,0.02,-0.06,0.20,stairs
51960,-1.16,2.14,10.69,0.00,0.07,0.18,stairs
51980,-2.07,1.55,10.61,-0.01,-0.03,0.31,stairs
52000,-1.54,0.93,9.76,0.02,-0.09,0.22,stairs
52020,-0.85,1.23,9.46,0.09,-0.23,0.13,stairs
