timestamp_ms,ax,ay,az,gx,gy,gz,label
97760,5.87,7.82,-1.85,0.04,0.02,-0.03,stationary
97780,5.70,7.90,-1.76,0.03,-0.02,0.02,stationary
97800,5.77,7.90,-1.77,0.04,-0.01,0.01,stationary
97820,5.74,7.88,-1.76,0.03,0.00,-0.02,stationary
97840,5.78,7.87,-1.79,0.03,-0.01,0.00,stationary
97860,5.74,7.88,-1.75,0.04,-0.01,-0.00,stationary
97880,5.75,7.88,-1.78,0.03,-0.01,0.00,stationary
97900,5.78,7.89,-1.77,0.03,-0.01,-0.00,stationary
97920,5.77,7.86,-1.79,0.03,-0.01,-0.00,stationary
97940,5.74,7.91,-1.75,0.03,-0.01,0.00,stationary
97960,5.77,7.88,-1.77,0.03,-0.01,-0.00,stationary
97980,5.77,7.88,-1.76,0.03,-0.01,0.00,stationary
98000,5.77,7.90,-1.78,0.03,-0.01,-0.00,stationary
98020,5.76,7.89,-1.79,0.03,-0.01,-0.00,stationary
98040,5.77,7.89,-1.79,0.03,-0.01,-0.00,stationary
98060,5.78,7.86,-1.78,0.03,-0.01,-0.00,stationary
98080,5.75,7.90,-1.76,0.03,-0.01,-0.00,stationary
98100,5.78,7.89,-1.79,0.03,-0.01,-0.00,stationary
98120,5.78,7.88,-1.77,0.03,-0.01,-0.00,stationary
98140,5.77,7.88,-1.76,0.03,-0.01,-0.00,stationary
98160,5.77,7.90,-1.77,0.03,-0.01,-0.00,stationary
98180,5.77,7.88,-1.77,0.03,-0.01,-0.00,stationary
98200,5.76,7.88,-1.76,0.03,-0.01,-0.00,stationary
98220,5.77,7.90,-1.80,0.03,-0.01,-0.00,stationary
98240,5.76,7.90,-1.79,0.03,-0.01,-0.00,stationary
98260,5.76,7.89,-1.79,0.03,-0.01,-0.00,stationary
98280,5.78,7.87,-1.78,0.03,-0.01,-0.00,stationary
98300,5.76,7.88,-1.77,0.03,-0.01,-0.00,stationary
98320,5.75,7.87,-1.79,0.03,-0.01,-0.00,stationary
98340,5.74,7.89,-1.76,0.03,-0.01,-0.00,stationary
98360,5.76,7.87,-1.78,0.03,-0.01,-0.00,stationary
98380,5.74,7.86,-1.79,0.03,-0.01,-0.00,stationary
98400,5.76,7.90,-1.77,0.03,-0.01,-0.00,stationary
98420,5.75,7.88,-1.77,0.03,-0.01,-0.00,stationary
98440,5.74,7.88,-1.75,0.03,-0.01,-0.00,stationary
98460,5.75,7.88,-1.78,0.03,-0.01,-0.00,stationary
98480,5.76,7.87,-1.79,0.03,-0.01,-0.00,stationary
98500,5.75,7.87,-1.80,0.03,-0.01,-0.00,stationary
98520,5.76,7.88,-1.76,0.03,-0.01,-0.00,stationary
98540,5.76,7.87,-1.78,0.03,-0.01,-0.00,stationary
98560,5.78,7.87,-1.76,0.03,-0.01,-0.00,stationary
98580,5.78,7.87,-1.79,0.03,-0.01,-0.00,stationary
98600,5.76,7.89,-1.76,0.03,-0.01,-0.00,stationary
98620,5.76,7.90,-1.79,0.03,-0.01,-0.00,stationary
98640,5.75,7.88,-1.76,0.03,-0.01,-0.00,stationary
98660,5.77,7.88,-1.80,0.03,-0.01,-0.00,stationary
98680,5.77,7.87,-1.77,0.03,-0.01,-0.00,stationary
98700,5.76,7.88,-1.79,0.03,-0.01,-0.00,stationary
98720,5.78,7.87,-1.79,0.03,-0.01,-0.00,stationary
98740,5.76,7.87,-1.78,0.03,-0.01,-0.00,stationary
98760,5.77,7.86,-1.77,0.03,-0.01,0.00,stationary
98780,5.76,7.88,-1.75,0.03,-0.01,-0.00,stationary
98800,5.77,7.86,-1.78,0.03,-0.01,-0.01,stationary
98820,5.75,7.88,-1.78,0.03,-0.01,-0.01,stationary
98840,5.78,7.86,-1.76,0.03,-0.00,-0.02,stationary
98860,5.74,7.96,-1.75,0.04,0.01,-0.03,stationary
98880,5.81,7.84,-1.81,0.05,-0.01,0.03,stationary
98900,5.77,7.89,-1.81,0.03,-0.01,-0.02,stationary
98920,5.82,7.86,-1.82,0.03,-0.02,0.01,stationary
98940,5.71,7.92,-1.73,0.03,0.00,-0.03,stationary
98960,5.81,7.86,-1.79,0.04,-0.01,0.01,stationary
98980,5.77,7.87,-1.83,0.03,-0.01,-0.01,stationary
99000,5.74,7.89,-1.75,0.03,-0.01,0.00,stationary
99020,5.77,7.89,-1.80,0.03,-0.01,0.00,stationary
99040,5.78,7.87,-1.80,0.03,-0.01,-0.00,stationary
99060,5.77,7.87,-1.80,0.03,-0.01,-0.01,stationary
99080,5.75,7.89,-1.74,0.03,-0.01,-0.00,stationary
99100,5.77,7.88,-1.82,0.03,-0.01,0.00,stationary
99120,5.77,7.89,-1.80,0.03,-0.01,-0.01,stationary
99140,5.75,7.90,-1.75,0.03,-0.01,0.00,stationary
99160,5.78,7.87,-1.78,0.03,-0.01,0.00,stationary
99180,5.77,7.88,-1.78,0.03,-0.01,-0.01,stationary
99200,5.77,7.87,-1.77,0.03,-0.01,-0.00,stationary
99220,5.77,7.90,-1.80,0.03,-0.01,-0.00,stationary
99240,5.77,7.89,-1.81,0.03,-0.01,-0.00,stationary
99260,5.76,7.89,-1.79,0.03,-0.01,-0.01,stationary
99280,5.77,7.87,-1.78,0.03,-0.01,-0.00,stationary
99300,5.81,7.93,-1.84,0.03,-0.01,-0.00,stationary
99320,5.80,7.79,-1.88,0.01,-0.01,-0.03,stationary
99340,5.71,7.82,-1.84,0.04,-0.00,0.01,stationary
99360,5.74,7.87,-1.78,0.03,-0.00,-0.01,stationary
99380,5.76,7.90,-1.79,0.04,-0.02,0.01,stationary
99400,5.76,7.91,-1.77,0.03,-0.01,-0.00,stationary
99420,5.76,7.87,-1.77,0.03,-0.01,0.00,stationary
99440,5.76,7.87,-1.79,0.03,-0.01,-0.01,stationary
99460,5.76,7.89,-1.76,0.03,-0.01,-0.00,stationary
99480,5.77,7.88,-1.79,0.03,-0.01,-0.00,stationary
99500,5.77,7.88,-1.77,0.03,-0.01,-0.00,stationary
