timestamp_ms,ax,ay,az,gx,gy,gz,label
23120,-5.24,7.89,2.98,0.08,-0.08,0.02,walking
23140,-5.13,7.91,2.82,0.08,-0.06,0.06,walking
23160,-5.18,7.73,2.71,0.06,-0.06,0.02,walking
23180,-5.26,7.34,2.54,0.03,-0.06,-0.03,walking
23200,-4.63,7.91,2.44,0.09,0.02,-0.12,walking
23220,-5.39,8.09,2.60,-0.07,0.35,-0.10,walking
23240,-5.25,7.89,3.11,-0.15,0.28,-0.10,walking
23260,-5.45,7.58,2.84,-0.08,0.38,-0.21,walking
23280,-7.64,5.80,2.92,-0.01,0.35,-0.17,walking
23300,-7.42,7.51,3.21,1.15,-0.75,0.45,walking
23320,-5.06,8.93,1.92,0.88,-1.28,0.54,walking
23340,-3.23,8.94,2.00,-0.00,-0.41,-0.15,walking
23360,-4.33,8.61,2.88,-0.12,0.17,-0.36,walking
23380,-4.69,8.14,2.47,0.08,-0.06,0.26,walking
23400,-4.96,7.66,2.67,0.19,0.04,0.33,walking
23420,-5.21,7.74,2.59,-0.02,0.15,-0.07,walking
23440,-5.08,7.89,2.83,0.00,0.09,0.03,walking
23460,-5.00,7.74,2.61,0.14,0.05,0.13,walking
23480,-4.45,6.34,3.94,0.22,0.05,-0.15,walking
23500,-4.49,7.25,2.63,1.22,0.28,0.38,walking
23520,-5.15,8.61,1.11,1.61,0.11,1.02,walking
23540,-5.05,10.03,1.54,1.05,0.03,1.24,walking
23560,-4.66,9.19,2.38,-0.07,0.10,0.16,walking
23580,-4.46,8.15,2.33,-0.15,0.19,0.05,walking
23600,-4.84,8.42,2.39,-0.13,0.06,0.17,walking
23620,-4.54,8.46,2.52,-0.25,0.03,0.22,walking
23640,-4.41,8.09,1.92,-0.24,0.04,0.09,walking
23660,-4.36,8.61,1.67,-0.13,0.07,0.10,walking
23680,-4.46,8.67,2.12,-0.11,0.12,0.24,walking
23700,-4.25,8.65,1.96,-0.10,0.11,0.01,walking
23720,-4.25,8.86,1.77,-0.04,0.20,0.16,walking
23740,-4.08,8.22,2.67,0.11,0.15,0.59,walking
23760,-4.29,7.74,2.66,0.71,0.26,0.60,walking
23780,-4.75,8.36,1.94,0.88,0.24,0.59,walking
23800,-4.84,9.33,1.25,0.72,0.19,0.37,walking
23820,-4.41,9.81,1.12,0.29,0.08,0.21,walking
23840,-3.90,9.26,1.42,-0.14,0.15,0.08,walking
23860,-3.93,8.73,0.98,-0.06,0.30,-0.06,walking
23880,-3.75,9.28,1.87,0.35,0.28,0.63,walking
23900,-3.66,8.16,2.43,0.60,0.20,0.37,walking
23920,-3.96,9.29,1.23,0.71,0.43,0.43,walking
23940,-4.67,9.80,0.48,0.54,0.34,0.30,walking
23960,-3.99,9.69,1.14,0.28,0.07,0.34,walking
23980,-2.91,10.45,1.18,0.40,0.11,0.49,walking
24000,-2.85,10.51,1.19,0.21,0.33,0.86,walking
24020,-3.94,10.15,1.90,-0.98,1.10,-1.06,walking
24040,-4.96,7.86,1.48,-1.05,0.73,-1.35,walking
24060,-6.31,6.46,1.23,-0.16,-0.06,0.54,walking
24080,-4.11,6.95,1.21,0.39,-0.93,0.50,walking
24100,-1.78,7.72,0.35,1.27,-0.66,1.19,walking
24120,-2.24,9.80,0.44,1.22,0.23,0.67,walking
24140,-3.07,10.65,-0.00,0.48,0.27,-0.06,walking
24160,-2.31,10.61,-0.23,0.36,0.07,-0.01,walking
