timestamp_ms,ax,ay,az,gx,gy,gz,label
12820,-0.77,-0.51,10.05,0.15,-0.23,-0.03,stairs
12840,-0.22,-0.81,9.38,0.02,0.07,-0.02,stairs
12860,-0.97,-0.97,9.78,-0.01,0.06,-0.01,stairs
12880,-0.25,0.16,10.82,-0.03,-0.15,0.07,stairs
12900,-0.46,-0.37,10.85,-0.03,-0.19,0.25,stairs
12920,-1.74,-0.89,10.82,0.03,-0.34,0.30,stairs
12940,-0.47,-0.85,10.54,0.05,-0.68,0.13,stairs
12960,0.92,0.45,10.20,-0.01,-0.05,0.27,stairs
12980,1.20,0.20,10.93,-0.02,0.08,0.72,stairs
13000,0.80,0.51,10.01,0.03,-0.37,1.56,stairs
13020,-0.68,-0.32,9.92,-0.08,0.14,2.08,stairs
13040,-2.35,-1.35,10.47,-0.11,0.02,1.86,stairs
13060,-1.19,-1.28,10.18,-0.05,-0.26,1.12,stairs
13080,-0.37,-0.88,9.92,-0.03,-0.00,0.31,stairs
13100,-0.42,-0.18,10.89,0.00,-0.15,0.09,stairs
13120,-0.12,-0.18,10.94,0.01,-0.48,0.04,stairs
13140,-0.11,-0.61,10.60,-0.02,-0.21,0.04,stairs
13160,-0.12,-0.70,10.29,0.01,-0.03,0.05,stairs
13180,-0.32,-0.71,10.32,0.02,0.09,0.03,stairs
13200,-0.66,-0.79,10.55,0.05,-0.00,-0.13,stairs
13220,-0.56,-0.34,10.40,0.05,0.09,-0.31,stairs
13240,-0.49,-0.60,10.32,0.04,0.26,-0.43,stairs
13260,0.11,-0.42,10.36,0.13,0.01,-0.29,stairs
13280,0.02,-0.43,10.21,0.21,-0.37,0.04,stairs
13300,0.03,-0.32,10.23,0.15,-0.12,0.08,stairs
13320,-0.11,-0.41,10.33,0.10,-0.02,0.00,stairs
13340,-0.14,-0.57,10.15,0.08,0.09,-0.10,stairs
13360,-0.32,-0.51,10.26,0.08,0.23,-0.18,stairs
13380,-0.28,-0.38,10.42,0.12,0.06,-0.16,stairs
13400,-0.61,-1.06,10.49,0.15,-0.06,-0.13,stairs
13420,-0.04,0.37,10.85,0.14,-0.04,-0.16,stairs
13440,0.03,0.32,10.71,0.13,-0.03,0.00,stairs
13460,-0.59,-0.62,10.83,0.14,-0.01,0.02,stairs
13480,-1.24,-2.26,10.62,0.14,0.01,-0.21,stairs
13500,-1.20,-2.31,10.25,0.14,0.02,-0.65,stairs
13520,-0.51,-0.41,10.15,0.14,-0.01,-0.96,stairs
13540,0.27,0.58,10.49,0.17,-0.11,-1.02,stairs
13560,-1.15,-1.66,10.52,0.19,-0.34,-0.99,stairs
13580,-0.69,-0.95,10.36,0.10,-0.10,-1.32,stairs
13600,0.68,1.15,10.48,-0.02,0.51,-1.57,stairs
13620,1.37,1.37,10.44,0.02,0.18,-1.22,stairs
13640,-0.39,0.28,10.65,0.06,0.04,-0.77,stairs
13660,-0.32,-0.15,10.59,0.10,0.04,-0.56,stairs
13680,0.23,-0.16,10.28,0.11,-0.12,-0.40,stairs
13700,1.01,1.96,10.11,0.10,-0.24,-0.29,stairs
13720,0.36,0.21,10.03,-0.02,0.24,-0.01,stairs
13740,-0.32,-0.48,10.30,-0.00,0.08,0.03,stairs
13760,-0.22,-0.10,9.87,0.00,-0.06,0.01,stairs
13780,-0.05,0.13,10.14,-0.10,-0.10,-0.03,stairs
13800,0.88,0.96,10.26,-0.08,-0.10,0.16,stairs
13820,1.32,0.74,9.48,-0.08,-0.15,0.63,stairs
13840,0.93,1.04,8.80,-0.21,-0.20,1.04,stairs
13860,-0.30,0.57,10.16,-0.35,-0.25,1.21,stairs
13880,-0.42,-0.16,11.97,-0.26,-0.18,1.31,stairs
13900,-1.56,-1.38,11.36,-0.07,-0.12,1.43,stairs
13920,-3.02,-4.13,11.51,0.15,-0.57,0.73,stairs
13940,-0.55,-1.47,11.09,0.23,-0.71,-0.05,stairs
13960,-0.44,-1.01,11.07,0.17,0.00,-0.31,stairs
13980,-0.78,-1.14,11.66,0.25,-0.02,-0.40,stairs
14000,-1.14,-1.45,11.01,0.31,-0.49,-0.62,stairs
14020,-0.18,-0.96,9.67,0.26,-0.23,-1.08,stairs
14040,0.57,-0.62,9.36,0.20,0.37,-1.31,stairs
14060,0.83,0.07,9.63,0.21,0.41,-1.13,stairs
14080,1.30,0.69,9.67,0.23,0.42,-0.67,stairs
14100,0.47,0.23,10.29,0.22,0.37,-0.16,stairs
