timestamp_ms,ax,ay,az,gx,gy,gz,label
timestamp_ms,ax,ay,az,gx,gy,gz,stationary
1040,4.92,-4.28,11.01,-0.22,0.68,0.29,stationary
1060,3.41,-4.31,8.70,-0.25,0.70,0.45,stationary
1080,3.52,-3.57,8.60,-0.01,0.56,0.54,stationary
1100,2.55,-3.78,10.30,0.00,0.62,0.48,stationary
1120,2.64,-3.84,9.43,-0.45,0.72,0.35,stationary
1140,2.27,-3.77,7.26,-0.24,0.63,0.22,stationary
1160,2.57,-3.80,7.46,0.02,0.59,0.12,stationary
1180,4.11,-3.11,9.23,0.03,0.55,0.71,stationary
1200,2.73,-4.65,8.63,0.06,0.44,0.83,stationary
1220,1.05,-4.58,8.86,0.16,0.25,0.89,stationary
1240,-2.48,-4.85,9.58,0.05,0.38,0.27,stationary
1260,1.11,-5.09,8.81,-0.04,0.43,-0.37,stationary
1280,3.10,-4.88,7.19,0.21,0.21,-0.07,stationary
1300,0.96,-4.07,8.21,0.73,-0.05,-0.25,stationary
1320,3.19,-4.38,11.49,0.69,0.12,-0.06,stationary
1340,1.01,-4.45,9.73,0.09,0.35,0.31,stationary
1360,0.20,-4.41,8.64,0.16,0.40,0.02,stationary
1380,-0.17,-4.75,8.10,0.31,0.41,-0.23,stationary
1400,-0.60,-4.43,8.40,0.70,0.38,-0.61,stationary
1420,2.26,-4.03,10.48,0.77,0.21,-0.69,stationary
1440,5.75,-2.78,10.86,0.37,0.19,0.02,stationary
1460,3.03,-4.28,8.70,0.46,-0.17,1.34,stationary
1480,1.29,-2.67,8.31,0.74,-0.51,1.52,stationary
1500,0.83,-2.41,10.16,0.91,-0.19,1.19,stationary
1520,0.51,-3.46,10.45,0.76,-0.02,0.88,stationary
1540,1.40,-3.31,9.53,0.88,-0.24,0.71,stationary
1560,1.44,-2.75,8.74,1.01,-0.27,0.60,stationary
1580,0.17,-2.57,9.28,1.34,-0.15,0.51,stationary
1600,-1.18,-2.50,11.78,1.22,-0.06,0.17,stationary
1620,-0.20,-2.41,10.77,0.85,-0.06,-0.15,stationary
1640,0.28,-2.21,10.09,0.81,0.00,-0.24,stationary
1660,1.55,-1.57,13.34,0.43,0.06,-0.18,stationary
1680,2.41,-1.47,11.00,0.10,-0.02,0.00,stationary
1700,1.31,-2.17,8.42,0.09,0.00,0.02,stationary
1720,0.44,-2.25,9.90,0.05,-0.02,0.08,stationary
1740,1.11,-2.38,9.55,0.08,-0.01,-0.06,stationary
1760,2.77,-1.95,9.75,0.20,-0.01,0.17,stationary
1780,2.27,-2.01,10.47,0.16,-0.04,0.50,stationary
1800,0.57,-2.79,10.70,0.08,-0.02,0.52,stationary
1820,0.07,-2.05,11.15,0.10,-0.05,0.35,stationary
1840,0.37,-1.98,9.99,0.09,0.01,0.17,stationary
1860,0.85,-2.12,9.74,0.18,0.12,0.02,stationary
1880,1.06,-1.96,11.19,0.21,0.18,-0.03,stationary
1900,-1.21,-2.49,11.23,0.03,0.04,-0.33,stationary
1920,-2.08,-2.18,10.35,-0.08,0.03,-0.78,stationary
1940,-1.13,-2.15,10.21,-0.15,0.26,-1.24,stationary
1960,-1.74,0.11,8.78,0.08,0.42,-1.96,stationary
1980,2.48,-1.37,11.05,0.35,-0.20,-2.26,stationary
2000,3.06,-1.99,10.42,0.08,0.10,-1.96,stationary
