timestamp_ms,ax,ay,az,gx,gy,gz,label
8020,3.73,-1.48,9.98,0.21,-0.08,0.01,walking
8040,3.62,-1.49,9.98,0.15,0.06,0.01,walking
8060,3.28,-1.82,10.22,0.09,0.06,0.04,walking
8080,3.15,-1.98,10.32,0.12,0.01,0.07,walking
8100,3.36,-1.71,9.84,0.17,-0.05,0.08,walking
8120,3.26,-1.43,9.27,0.13,0.05,0.09,walking
8140,3.03,-1.57,9.50,0.04,0.08,0.13,walking
8160,3.23,-1.67,10.00,0.05,0.05,0.15,walking
8180,3.45,-1.46,10.24,0.13,0.02,0.13,walking
8200,3.51,-1.24,9.81,0.14,0.00,0.11,walking
8220,3.27,-1.34,9.79,0.06,0.05,0.14,walking
8240,3.33,-1.55,10.23,0.03,0.05,0.18,walking
8260,3.52,-1.54,10.17,0.10,-0.03,0.18,walking
8280,3.62,-1.39,9.57,0.16,-0.00,0.16,walking
8300,3.13,-1.52,9.91,0.16,0.04,0.18,walking
8320,3.13,-1.60,9.95,0.17,-0.04,0.23,walking
8340,3.44,-1.39,9.92,0.23,-0.07,0.24,walking
8360,3.56,-1.26,9.62,0.26,-0.06,0.22,walking
8380,3.26,-1.33,9.67,0.23,-0.00,0.23,walking
8400,3.07,-1.47,10.20,0.20,-0.02,0.26,walking
8420,3.26,-1.37,10.26,0.23,-0.07,0.27,walking
8440,3.49,-1.15,9.66,0.25,-0.03,0.26,walking
8460,3.16,-1.28,9.81,0.22,0.06,0.29,walking
8480,3.00,-1.38,10.30,0.22,0.01,0.33,walking
8500,3.32,-1.04,10.24,0.28,-0.05,0.35,walking
8520,3.56,-0.80,9.62,0.27,0.03,0.33,walking
8540,3.10,-0.95,9.94,0.22,0.14,0.34,walking
8560,2.97,-1.14,10.19,0.23,0.08,0.36,walking
8580,3.17,-0.98,9.91,0.30,0.01,0.35,walking
8600,3.40,-0.64,9.28,0.33,0.09,0.31,walking
8620,2.95,-0.82,9.55,0.27,0.19,0.29,walking
8640,2.61,-1.09,9.86,0.26,0.18,0.31,walking
8660,2.76,-0.94,9.89,0.31,0.14,0.32,walking
8680,2.94,-0.64,9.63,0.37,0.13,0.29,walking
8700,2.68,-0.67,9.48,0.38,0.18,0.28,walking
8720,2.40,-0.82,9.83,0.37,0.23,0.30,walking
8740,2.48,-0.57,10.31,0.41,0.21,0.31,walking
8760,2.82,-0.05,9.61,0.43,0.17,0.26,walking
8780,2.56,-0.06,9.34,0.36,0.35,0.20,walking
8800,1.83,-0.58,10.03,0.31,0.38,0.19,walking
8820,1.88,-0.73,10.08,0.36,0.40,0.20,walking
8840,1.97,-0.50,10.08,0.39,0.48,0.15,walking
8860,2.04,-0.43,9.80,0.42,0.51,0.12,walking
8880,1.89,-0.51,9.96,0.36,0.57,0.12,walking
8900,1.98,-0.24,10.10,0.31,0.56,0.15,walking
8920,2.23,-0.29,10.29,0.17,0.68,0.13,walking
8940,2.12,-0.57,10.23,0.14,0.70,0.08,walking
8960,1.48,-1.05,11.15,0.27,0.59,0.03,walking
8980,0.99,-0.91,10.69,0.41,0.35,0.01,walking
9000,1.07,-0.29,10.38,0.46,0.25,0.05,walking
9020,1.23,-0.32,10.33,0.46,0.21,-0.04,walking
9040,1.62,0.07,10.71,0.45,0.23,-0.07,walking
9060,1.46,0.04,11.82,0.52,0.09,-0.00,walking
9080,1.90,0.22,10.86,0.55,-0.17,0.01,walking
9100,1.80,0.39,9.75,0.54,-0.09,-0.04,walking
9120,1.65,0.41,9.64,0.47,0.01,-0.02,walking
9140,1.36,0.40,10.41,0.39,0.10,0.03,walking
9160,1.38,0.44,10.50,0.27,0.05,0.04,walking
9180,1.56,0.55,10.39,0.18,0.10,0.03,walking
9200,1.41,0.60,10.31,0.14,0.24,0.06,walking
9220,1.24,0.51,10.58,0.12,0.29,0.12,walking
9240,1.23,0.50,10.85,0.12,0.21,0.17,walking
9260,1.57,0.81,10.81,0.10,0.21,0.18,walking
9280,1.64,0.91,10.57,0.07,0.23,0.15,walking
9300,1.50,0.84,10.52,0.03,0.21,0.14,walking
9320,1.35,0.73,10.60,-0.00,0.20,0.15,walking
9340,1.31,0.73,10.60,-0.01,0.21,0.15,walking
9360,1.26,0.70,10.54,0.02,0.19,0.14,walking
9380,1.08,0.74,10.13,0.03,0.19,0.16,walking
9400,0.83,0.67,10.06,-0.00,0.22,0.21,walking
9420,0.87,0.53,10.32,-0.02,0.20,0.26,walking
9440,1.00,0.56,10.55,0.02,0.18,0.25,walking
9460,0.91,0.55,10.46,0.08,0.12,0.22,walking
9480,0.77,0.74,10.41,0.07,0.10,0.21,walking
9500,0.90,0.82,10.37,0.03,0.03,0.19,walking
9520,1.03,0.64,10.33,-0.01,0.01,0.15,walking
9540,1.03,0.35,10.31,0.00,-0.04,0.10,walking
9560,0.93,0.31,10.27,0.05,-0.05,0.05,walking
9580,0.77,0.31,10.30,0.10,-0.13,0.01,walking
9600,0.87,0.44,10.35,0.10,-0.15,-0.01,walking
9620,0.85,0.43,10.57,0.08,-0.12,-0.01,walking
9640,0.89,0.43,10.67,0.04,-0.09,-0.01,walking
9660,0.80,0.50,10.59,0.04,-0.07,0.08,walking
9680,0.78,0.34,10.50,0.07,-0.12,0.15,walking
9700,0.89,0.38,10.67,0.08,-0.14,0.06,walking
9720,1.06,0.58,10.47,0.03,-0.12,-0.02,walking
9740,1.00,0.57,10.30,-0.01,-0.07,-0.02,walking
9760,1.07,0.58,10.29,-0.00,-0.07,-0.01,walking
9780,1.25,0.76,10.34,-0.00,-0.07,-0.04,walking
9800,1.24,0.81,10.33,-0.00,-0.06,-0.05,walking
9820,1.05,0.72,10.32,-0.01,-0.03,-0.04,walking
9840,1.09,0.77,10.30,-0.02,-0.02,0.01,walking
9860,1.27,0.71,10.15,-0.01,-0.05,0.08,walking
9880,1.25,0.56,10.35,0.01,-0.04,0.09,walking
9900,1.16,0.48,10.46,0.05,-0.05,0.06,walking
9920,1.06,0.49,10.45,0.05,-0.02,0.05,walking
9940,1.01,0.41,10.36,0.05,-0.05,0.04,walking
9960,1.08,0.40,10.30,0.07,-0.07,0.01,walking
9980,1.13,0.57,10.47,0.08,-0.03,-0.01,walking
10000,1.16,0.77,10.51,0.11,-0.04,-0.02,walking
10020,0.83,0.39,10.18,0.10,0.02,-0.01,walking
10040,1.02,0.38,10.16,0.08,0.02,0.01,walking
10060,1.14,0.67,10.10,0.11,0.00,-0.01,walking
10080,0.97,0.90,10.34,0.15,0.00,-0.03,walking
10100,1.00,0.53,10.04,0.17,-0.05,0.02,walking
10120,0.87,0.30,10.16,0.10,0.05,0.05,walking
10140,0.72,0.40,10.40,0.13,0.00,-0.01,walking
10160,0.88,0.45,10.56,0.21,-0.15,-0.02,walking
10180,1.25,0.75,10.55,0.19,-0.14,-0.06,walking
10200,1.04,0.67,10.39,0.16,-0.08,-0.10,walking
10220,0.92,0.40,10.27,0.14,-0.08,-0.12,walking
10240,0.68,0.23,10.35,0.15,-0.14,-0.12,walking
10260,0.80,0.24,10.13,0.19,-0.26,-0.13,walking
10280,0.88,0.30,10.18,0.20,-0.29,-0.14,walking
10300,0.86,0.27,10.18,0.17,-0.28,-0.16,walking
10320,0.91,0.35,10.70,0.14,-0.21,-0.16,walking
10340,0.78,0.22,11.02,0.18,-0.25,-0.12,walking
10360,0.77,0.33,11.31,0.17,-0.20,-0.10,walking
10380,0.90,0.31,10.74,0.22,-0.23,-0.10,walking
10400,1.07,0.35,10.75,0.20,-0.13,-0.08,walking
10420,1.24,0.41,11.03,0.21,-0.06,-0.08,walking
10440,1.38,0.66,10.83,0.21,-0.02,-0.08,walking
10460,1.33,0.66,10.16,0.20,-0.15,-0.10,walking
10480,1.49,0.57,10.00,0.09,-0.15,-0.12,walking
10500,1.65,0.49,10.36,0.00,-0.09,-0.12,walking
10520,1.69,0.50,10.16,0.02,-0.20,-0.13,walking
10540,1.64,0.13,9.73,0.01,-0.38,-0.29,walking
10560,2.03,0.74,9.81,-0.08,-0.38,-0.41,walking
10580,1.98,0.65,10.41,-0.13,-0.36,-0.18,walking
10600,1.87,0.34,10.62,-0.13,-0.39,-0.11,walking
10620,2.06,0.39,10.13,-0.13,-0.51,-0.10,walking
10640,1.95,0.41,10.31,-0.18,-0.44,-0.06,walking
10660,1.86,0.23,10.63,-0.28,-0.42,0.01,walking
10680,2.01,0.11,10.66,-0.35,-0.48,0.05,walking
10700,2.05,0.18,10.58,-0.37,-0.58,0.07,walking
10720,2.21,0.21,10.44,-0.34,-0.57,0.08,walking
10740,2.14,0.09,10.50,-0.30,-0.58,0.10,walking
10760,2.34,0.01,10.22,-0.32,-0.67,0.13,walking
10780,2.79,-0.04,10.12,-0.34,-0.66,0.16,walking
10800,2.77,-0.12,11.20,-0.30,-0.61,0.18,walking
10820,3.10,0.03,11.87,-0.19,-0.71,0.19,walking
10840,3.42,0.54,11.87,-0.11,-0.70,0.18,walking
10860,3.43,0.85,11.24,-0.13,-0.66,0.16,walking
10880,3.37,0.60,10.75,-0.18,-0.59,0.15,walking
10900,3.35,0.34,9.93,-0.21,-0.52,0.12,walking
10920,3.31,0.18,9.22,-0.21,-0.41,0.08,walking
