timestamp_ms,ax,ay,az,gx,gy,gz,label
0,1.23,1.75,12.79,0.07,-0.02,0.16,stairs
20,-0.96,0.22,8.38,-0.33,0.06,-0.31,stairs
40,1.43,1.94,13.57,0.1,0.04,0.2,stairs
60,-0.92,0.22,8.12,-0.26,0.06,-0.37,stairs
80,2.29,4.31,15.49,0.0,0.4,0.09,stairs
100,1.64,3.56,13.42,0.24,0.07,0.13,stairs
120,1.37,2.09,13.95,0.28,-0.05,0.24,stairs
140,-0.85,0.24,8.22,-0.25,0.12,-0.4,stairs
160,-1.02,0.19,8.48,-0.27,0.02,-0.36,stairs
180,0.8,2.54,11.13,0.26,0.02,-0.0,stairs
200,1.45,2.4,13.64,0.49,-0.19,0.18,stairs
220,1.7,2.78,12.84,0.5,-0.26,0.16,stairs
240,-0.89,-0.09,8.34,-0.29,-0.19,-0.3,stairs
260,0.74,2.25,10.67,0.03,0.36,0.01,stairs
280,1.85,2.62,11.99,0.41,-0.24,0.13,stairs
300,-0.73,-0.43,8.45,-0.28,-0.13,-0.28,stairs
320,0.23,2.23,11.62,0.05,0.35,0.1,stairs
340,-0.86,-0.65,9.07,-0.16,-0.29,-0.27,stairs
360,0.15,2.71,11.38,0.13,0.14,0.2,stairs
380,1.86,2.26,11.31,0.37,-0.19,0.09,stairs
400,-0.72,-0.49,9.37,-0.05,-0.47,-0.3,stairs
420,0.44,2.45,11.01,0.16,0.02,0.24,stairs
440,1.68,2.21,10.87,0.41,-0.18,0.07,stairs
460,0.6,2.42,10.84,0.12,-0.08,0.23,stairs
480,-0.25,-0.19,9.39,-0.02,-0.31,-0.42,stairs
500,1.44,2.42,10.34,0.41,-0.21,0.09,stairs
520,-0.28,-0.24,9.51,-0.04,-0.2,-0.43,stairs
540,1.49,2.69,10.22,0.28,-0.18,0.14,stairs
560,0.89,2.75,11.19,0.13,-0.08,0.31,stairs
580,1.41,2.68,11.15,0.27,-0.12,0.39,stairs
600,1.71,2.68,10.07,0.09,-0.13,0.15,stairs
