timestamp_ms,az,label
0,12.79,stairs
20,8.38,stairs
40,13.57,stairs
60,8.12,stairs
80,15.49,stairs
100,13.42,stairs
120,13.95,stairs
140,8.22,stairs
160,8.48,stairs
180,11.13,stairs
200,13.64,stairs
220,12.84,stairs
240,8.34,stairs
260,10.67,stairs
280,11.99,stairs
300,8.45,stairs
320,11.62,stairs
340,9.07,stairs
360,11.38,stairs
380,11.31,stairs
400,9.37,stairs
420,11.01,stairs
440,10.87,stairs
460,10.84,stairs
480,9.39,stairs
500,10.34,stairs
520,9.51,stairs
540,10.22,stairs
560,11.19,stairs
580,11.15,stairs
600,10.07,stairs
620,9.46,stairs
640,10.63,stairs
660,9.45,stairs
680,10.32,stairs
700,9.56,stairs
720,10.07,stairs
740,10.36,stairs
760,10.07,stairs
780,9.65,stairs
800,9.92,stairs
820,10.32,stairs
840,9.65,stairs
860,9.84,stairs
880,10.78,stairs
900,9.64,stairs
920,9.74,stairs
940,10.91,stairs
960,9.42,stairs
980,9.62,stairs
1000,9.28,stairs
1020,9.32,stairs
1040,11.03,stairs
1060,9.03,stairs
1080,11.79,stairs
1100,9.6,stairs
1120,8.85,stairs
1140,11.83,stairs
1160,10.55,stairs
1180,8.83,stairs
1200,10.59,stairs
1220,11.95,stairs
1240,9.71,stairs
1260,8.92,stairs
1280,12.16,stairs
1300,9.29,stairs
1320,8.86,stairs
1340,12.41,stairs
1360,12.9,stairs
1380,8.6,stairs
1400,9.62,stairs
1420,8.62,stairs
1440,9.92,stairs
1460,13.34,stairs
1480,10.15,stairs
1500,8.99,stairs
1520,13.69,stairs
1540,13.25,stairs
1560,10.02,stairs
1580,9.23,stairs
1600,9.97,stairs
1620,9.24,stairs
1640,12.19,stairs
1660,9.23,stairs
1680,11.78,stairs
1700,9.78,stairs
1720,9.49,stairs
1740,10.94,stairs
1760,9.74,stairs
1780,10.23,stairs
1800,9.62,stairs
1820,9.72,stairs
1840,9.55,stairs
1860,9.73,stairs
1880,10.61,stairs
1900,9.94,stairs
1920,9.61,stairs
1940,11.02,stairs
1960,10.39,stairs
1980,11.31,stairs
2000,9.58,stairs
2020,11.2,stairs
2040,9.68,stairs
2060,10.27,stairs
2080,10.5,stairs
2100,9.66,stairs
2120,9.62,stairs
2140,9.8,stairs
2160,9.48,stairs
2180,9.5,stairs
2200,9.69,stairs
2220,9.24,stairs
2240,9.74,stairs
2260,9.42,stairs
2280,9.72,stairs
2300,9.27,stairs
2320,9.23,stairs
2340,9.16,stairs
2360,9.86,stairs
2380,8.76,stairs
2400,9.41,stairs
2420,10.03,stairs
2440,8.64,stairs
2460,9.92,stairs
2480,9.07,stairs
2500,8.89,stairs
2520,8.77,stairs
2540,9.64,stairs
2560,9.15,stairs
2580,9.73,stairs
2600,9.04,stairs
2620,9.26,stairs
2640,8.98,stairs
2660,10.02,stairs
2680,8.92,stairs
2700,10.35,stairs
2720,9.06,stairs
2740,10.09,stairs
2760,8.82,stairs
2780,8.89,stairs
2800,8.64,stairs
2820,9.35,stairs
2840,9.87,stairs
2860,9.97,stairs
2880,10.03,stairs
2900,8.76,stairs
2920,10.28,stairs
2940,8.72,stairs
2960,10.0,stairs
2980,9.47,stairs
3000,10.49,stairs
3020,8.66,stairs
3040,9.1,stairs
3060,10.76,stairs
3080,8.83,stairs
3100,9.05,stairs
3120,9.12,stairs
3140,10.97,stairs
3160,11.18,stairs
3180,9.59,stairs
3200,9.12,stairs
3220,11.3,stairs
3240,9.18,stairs
3260,10.08,stairs
3280,11.23,stairs
3300,9.85,stairs
3320,10.49,stairs
3340,11.16,stairs
3360,11.21,stairs
3380,10.63,stairs
3400,11.66,stairs
3420,10.66,stairs
3440,12.86,stairs
3460,10.28,stairs
3480,14.13,stairs
3500,12.3,stairs
3520,12.67,stairs
3540,10.43,stairs
3560,14.55,stairs
3580,11.01,stairs
3600,13.75,stairs
3620,13.03,stairs
3640,11.48,stairs
3660,12.9,stairs
3680,12.39,stairs
3700,11.83,stairs
3720,12.61,stairs
3740,11.56,stairs
3760,11.6,stairs
3780,11.69,stairs
3800,12.71,stairs
3820,11.83,stairs
3840,12.1,stairs
3860,12.64,stairs
3880,12.48,stairs
3900,11.95,stairs
3920,12.36,stairs
3940,11.82,stairs
3960,12.72,stairs
3980,12.1,stairs
4000,10.98,stairs
4020,12.67,stairs
4040,12.62,stairs
4060,13.45,stairs
4080,10.44,stairs
4100,12.3,stairs
4120,10.31,stairs
4140,11.65,stairs
4160,13.37,stairs
4180,10.82,stairs
4200,12.62,stairs
4220,10.33,stairs
4240,10.37,stairs
4260,12.95,stairs
4280,10.11,stairs
4300,10.6,stairs
4320,12.74,stairs
4340,9.88,stairs
4360,10.75,stairs
4380,11.31,stairs
4400,9.47,stairs
4420,10.52,stairs
4440,9.04,stairs
4460,10.46,stairs
4480,8.99,stairs
4500,9.84,stairs
4520,10.07,stairs
4540,9.92,stairs
4560,9.66,stairs
4580,9.02,stairs
4600,8.89,stairs
4620,9.53,stairs
4640,9.98,stairs
4660,9.59,stairs
4680,9.91,stairs
4700,9.03,stairs
4720,9.85,stairs
4740,9.82,stairs
4760,9.07,stairs
4780,9.83,stairs
4800,9.39,stairs
4820,8.96,stairs
4840,9.33,stairs
4860,8.82,stairs
4880,9.66,stairs
4900,9.45,stairs
4920,8.75,stairs
4940,8.97,stairs
4960,8.84,stairs
4980,8.41,stairs
5000,9.05,stairs
5020,8.4,stairs
5040,8.8,stairs
5060,8.81,stairs
5080,8.63,stairs
5100,8.12,stairs
5120,8.66,stairs
5140,8.75,stairs
5160,8.59,stairs
5180,8.52,stairs
5200,8.8,stairs
5220,8.77,stairs
5240,8.91,stairs
5260,8.72,stairs
5280,9.13,stairs
5300,8.77,stairs
5320,8.78,stairs
5340,8.61,stairs
5360,9.29,stairs
5380,8.43,stairs
5400,9.11,stairs
5420,9.44,stairs
5440,9.29,stairs
5460,8.45,stairs
5480,9.3,stairs
5500,8.66,stairs
5520,9.48,stairs
5540,9.66,stairs
5560,9.68,stairs
5580,9.56,stairs
5600,8.93,stairs
5620,9.56,stairs
5640,9.53,stairs
5660,8.97,stairs
5680,9.36,stairs
5700,9.02,stairs
5720,10.16,stairs
5740,9.14,stairs
5760,9.28,stairs
5780,9.52,stairs
5800,9.38,stairs
5820,9.43,stairs
5840,9.22,stairs
5860,9.55,stairs
5880,9.29,stairs
5900,9.59,stairs
5920,9.75,stairs
5940,9.66,stairs
5960,9.79,stairs
5980,9.73,stairs
6000,9.63,stairs
6020,9.69,stairs
6040,9.66,stairs
6060,9.88,stairs
6080,9.74,stairs
6100,9.73,stairs
6120,9.97,stairs
6140,10.06,stairs
6160,10.42,stairs
6180,10.34,stairs
6200,9.85,stairs
6220,11.28,stairs
6240,10.27,stairs
6260,10.69,stairs
6280,12.25,stairs
6300,11.02,stairs
6320,10.58,stairs
6340,10.84,stairs
6360,12.34,stairs
6380,11.2,stairs
6400,11.66,stairs
6420,11.05,stairs
6440,11.1,stairs
6460,12.26,stairs
6480,11.44,stairs
6500,10.81,stairs
6520,11.53,stairs
6540,12.92,stairs
6560,10.86,stairs
6580,13.25,stairs
6600,11.66,stairs
6620,11.88,stairs
6640,13.46,stairs
6660,12.06,stairs
6680,12.66,stairs
6700,13.01,stairs
6720,13.2,stairs
6740,12.42,stairs
6760,12.37,stairs
6780,13.06,stairs
6800,12.47,stairs
6820,12.98,stairs
6840,11.91,stairs
6860,11.86,stairs
6880,11.14,stairs
6900,11.93,stairs
6920,12.73,stairs
6940,12.85,stairs
6960,12.31,stairs
6980,10.59,stairs
7000,12.84,stairs
7020,10.08,stairs
7040,12.49,stairs
7060,12.62,stairs
7080,9.9,stairs
7100,12.18,stairs
7120,11.9,stairs
7140,9.96,stairs
7160,11.65,stairs
7180,10.07,stairs
7200,11.28,stairs
7220,10.88,stairs
7240,10.35,stairs
7260,10.03,stairs
7280,10.98,stairs
7300,10.18,stairs
7320,10.76,stairs
7340,9.95,stairs
7360,10.61,stairs
7380,10.7,stairs
7400,9.75,stairs
7420,10.6,stairs
7440,9.52,stairs
7460,10.81,stairs
7480,10.59,stairs
7500,9.32,stairs
7520,10.38,stairs
7540,9.81,stairs
7560,9.54,stairs
7580,10.39,stairs
7600,9.77,stairs
7620,9.3,stairs
7640,9.01,stairs
7660,9.35,stairs
7680,9.33,stairs
7700,8.82,stairs
7720,9.24,stairs
7740,9.66,stairs
7760,9.11,stairs
7780,9.68,stairs
7800,9.68,stairs
7820,8.85,stairs
7840,9.52,stairs
7860,9.84,stairs
7880,8.48,stairs
7900,8.64,stairs
7920,9.6,stairs
7940,9.33,stairs
7960,9.42,stairs
7980,8.75,stairs
8000,9.26,stairs
8020,9.47,stairs
8040,8.65,stairs
8060,9.27,stairs
8080,9.74,stairs
8100,8.49,stairs
8120,9.05,stairs
8140,8.93,stairs
8160,8.3,stairs
8180,9.75,stairs
8200,9.77,stairs
8220,8.66,stairs
8240,8.01,stairs
8260,8.37,stairs
8280,9.79,stairs
8300,8.34,stairs
8320,9.95,stairs
8340,8.85,stairs
8360,8.28,stairs
8380,8.17,stairs
8400,10.18,stairs
8420,9.05,stairs
8440,9.42,stairs
8460,8.27,stairs
8480,10.15,stairs
8500,9.71,stairs
8520,8.37,stairs
8540,10.05,stairs
8560,9.98,stairs
8580,8.46,stairs
8600,9.73,stairs
8620,9.71,stairs
8640,10.41,stairs
8660,8.32,stairs
8680,10.65,stairs
8700,8.22,stairs
8720,9.58,stairs
8740,10.54,stairs
8760,8.37,stairs
8780,9.64,stairs
8800,8.53,stairs
8820,9.65,stairs
8840,10.52,stairs
8860,9.05,stairs
8880,10.89,stairs
8900,9.84,stairs
8920,10.69,stairs
