timestamp_ms,ax,ay,az,gx,gy,gz,label
775980,1.07,0.07,10.72,0.04,0.01,-0.01,stairs
776000,0.83,-0.17,10.8,0.08,0.02,-0.02,stairs
776020,0.49,-0.15,10.51,0.12,-0.01,-0.02,stairs
776040,0.63,0.16,10.42,0.1,-0.0,-0.01,stairs
776060,0.73,0.09,10.47,0.07,0.05,-0.01,stairs
776080,0.78,0.05,10.43,0.08,0.06,-0.03,stairs
776100,0.72,0.2,10.4,0.06,0.07,-0.05,stairs
776120,0.83,0.3,10.63,0.02,0.09,-0.06,stairs
776140,0.75,0.11,10.63,0.0,0.12,-0.07,stairs
776160,0.68,0.01,10.47,0.02,0.13,-0.07,stairs
776180,0.57,0.01,10.22,0.03,0.11,-0.06,stairs
776200,0.58,-0.01,10.41,0.02,0.07,-0.03,stairs
776220,0.73,0.03,10.41,0.03,0.04,-0.02,stairs
776240,0.66,0.0,10.51,0.09,0.01,-0.01,stairs
776260,0.89,0.24,10.44,0.11,0.01,0.01,stairs
776280,1.05,0.42,10.28,0.07,0.03,0.01,stairs
776300,1.01,0.24,10.29,0.04,0.04,0.01,stairs
776320,0.94,-0.02,10.33,0.1,0.04,0.01,stairs
776340,0.78,0.05,10.33,0.16,0.02,0.04,stairs
776360,0.72,0.18,10.11,0.13,-0.02,0.09,stairs
776380,1.11,0.14,10.07,0.07,-0.01,0.14,stairs
776400,1.39,0.04,10.48,0.09,0.01,0.15,stairs
776420,1.02,0.02,10.5,0.16,-0.02,0.15,stairs
776440,0.76,0.23,10.33,0.15,-0.05,0.2,stairs
776460,0.97,0.43,10.61,0.08,0.02,0.26,stairs
776480,1.09,0.53,11.16,0.1,0.08,0.27,stairs
776500,0.67,0.67,11.03,0.15,0.15,0.25,stairs
776520,0.28,0.7,10.85,0.14,0.21,0.27,stairs
776540,0.3,0.4,10.47,0.1,0.29,0.28,stairs
776560,0.37,0.05,10.23,0.11,0.35,0.27,stairs
776580,0.44,-0.02,9.99,0.15,0.34,0.21,stairs
776600,0.19,0.06,9.97,0.11,0.33,0.16,stairs
776620,-0.06,0.15,10.22,0.07,0.32,0.11,stairs
776640,-0.33,0.04,10.32,0.07,0.31,0.08,stairs
776660,-0.32,0.17,10.28,0.12,0.34,0.05,stairs
776680,-0.29,0.44,10.77,0.14,0.4,0.03,stairs
776700,-0.32,0.37,10.44,0.08,0.48,-0.02,stairs
776720,-0.27,0.06,10.5,0.31,0.19,-0.11,stairs
776740,-0.26,0.6,8.48,0.5,-0.04,-0.21,stairs
776760,-0.48,0.68,9.82,0.34,-0.23,-0.43,stairs
776780,-0.35,0.98,10.01,0.14,-0.34,-0.47,stairs
776800,-0.1,1.2,10.25,0.14,-0.38,-0.43,stairs
776820,0.01,1.13,9.91,0.22,-0.4,-0.36,stairs
776840,0.31,0.95,9.84,0.25,-0.44,-0.33,stairs
776860,0.71,1.02,10.69,0.17,-0.41,-0.35,stairs
776880,1.12,1.33,11.33,0.08,-0.36,-0.38,stairs
776900,0.96,1.24,11.53,-0.05,-0.19,-0.38,stairs
776920,0.18,0.6,11.68,-0.17,-0.08,-0.41,stairs
776940,-0.09,0.3,11.72,-0.16,-0.07,-0.4,stairs
776960,-0.18,0.3,11.46,-0.12,-0.07,-0.43,stairs
776980,0.17,0.57,11.35,-0.11,-0.03,-0.51,stairs
777000,0.19,0.7,11.06,-0.13,-0.0,-0.42,stairs
777020,0.05,0.57,10.99,-0.21,0.04,-0.32,stairs
