location,mac,mean_rssi,median_rssi,std_rssi,samples
bijuOffice,00:27:E3:29:CD:E0,-73.74074074074075,-75.0,6.123270730944726,81
bijuOffice,00:27:E3:29:CE:40,-86.25,-87.0,1.5,4
bijuOffice,00:27:E3:29:D1:20,-85.8,-86.0,1.7888543819998302,5
bijuOffice,00:27:E3:29:E8:80,-83.32142857142857,-84.0,4.464291005287874,28
bijuOffice,00:A3:8E:60:EB:E1,-67.0609756097561,-66.5,11.916735364708082,82
bijuOffice,00:A3:8E:60:F3:80,-82.41025641025641,-84.0,5.245137842340765,39
bijuOffice,00:A3:8E:65:44:00,-85.81818181818181,-86.0,1.7786613965666336,11
bijuOffice,00:A3:8E:67:4C:81,-71.29545454545455,-69.0,7.290616061049594,88
bijuOffice,08:4F:A9:2D:77:41,-85.75,-86.0,2.3587550721081825,52
bijuOffice,08:4F:A9:39:6A:41,-86.375,-86.5,1.187734939165421,8
bijuOffice,0C:75:BD:12:BF:A0,-88.0,-89.0,2.0000000000000004,5
bijuOffice,70:EA:1A:22:9B:81,-86.28571428571429,-86.0,1.5406577730392814,14
bijuOffice,70:EA:1A:22:A9:41,-83.125,-84.0,3.4728802795226708,40
bijuOffice,70:EA:1A:65:2E:A1,-88.0,-88.0,0.0,3
bijuOffice,mac,,,,0
csHod,00:27:E3:29:D2:A0,-88.16666666666667,-88.5,1.2673044646258478,12
csHod,00:27:E3:29:D2:E0,-87.5,-87.5,0.5773502691896278,4
csHod,00:27:E3:29:D4:A0,-88.6,-90.0,2.190890230020663,5
csHod,00:27:E3:29:D8:E0,-86.5,-86.5,2.1213203435596424,2
csHod,00:27:E3:29:E8:80,-81.8,-81.0,2.966479394838265,20
csHod,00:A3:8E:4E:29:A1,-68.90789473684211,-65.5,13.056980387597468,76
csHod,00:A3:8E:67:4C:81,-84.3061224489796,-84.0,3.3862718046095948,49
csHod,08:4F:A9:10:4B:81,-89.4,-89.0,1.1401754250991383,5
csHod,08:4F:A9:2D:77:41,-87.5,-87.5,0.7071067811865476,2
csHod,08:4F:A9:2D:8A:41,-76.55813953488372,-78.0,5.708399515423359,43
csHod,08:4F:A9:2D:8A:A1,-78.3076923076923,-78.0,5.69003675019973,39
