timestamp_ms,mac,rssi,location
etimestamp,mac,rssi,bijuOffice
3992,00:A3:8E:60:EB:E1,-60,bijuOffice
3992,00:27:E3:29:CD:E0,-66,bijuOffice
3992,00:A3:8E:67:4C:81,-71,bijuOffice
8784,00:A3:8E:60:EB:E1,-59,bijuOffice
8784,00:A3:8E:67:4C:81,-67,bijuOffice
8784,00:27:E3:29:CD:E0,-67,bijuOffice
8784,00:A3:8E:60:F3:80,-90,bijuOffice
13587,00:A3:8E:60:EB:E1,-65,bijuOffice
13587,00:A3:8E:67:4C:81,-68,bijuOffice
13587,00:27:E3:29:CD:E0,-71,bijuOffice
13587,08:4F:A9:2D:77:41,-83,bijuOffice
18390,00:A3:8E:60:EB:E1,-61,bijuOffice
18390,00:27:E3:29:CD:E0,-63,bijuOffice
18390,00:A3:8E:67:4C:81,-72,bijuOffice
18390,08:4F:A9:2D:77:41,-88,bijuOffice
18390,00:27:E3:29:E8:80,-88,bijuOffice
23193,00:27:E3:29:CD:E0,-61,bijuOffice
23193,00:A3:8E:60:EB:E1,-61,bijuOffice
23193,00:A3:8E:67:4C:81,-69,bijuOffice
23193,08:4F:A9:2D:77:41,-86,bijuOffice
27996,00:A3:8E:67:4C:81,-65,bijuOffice
27996,00:A3:8E:60:EB:E1,-65,bijuOffice
27996,00:27:E3:29:CD:E0,-68,bijuOffice
27996,08:4F:A9:2D:77:41,-89,bijuOffice
32799,00:A3:8E:67:4C:81,-64,bijuOffice
32799,00:A3:8E:60:EB:E1,-64,bijuOffice
32799,00:27:E3:29:CD:E0,-71,bijuOffice
32799,08:4F:A9:2D:77:41,-86,bijuOffice
37602,00:A3:8E:67:4C:81,-63,bijuOffice
37602,00:A3:8E:60:EB:E1,-65,bijuOffice
37602,00:27:E3:29:CD:E0,-71,bijuOffice
37602,08:4F:A9:2D:77:41,-85,bijuOffice
42405,00:A3:8E:67:4C:81,-64,bijuOffice
42405,00:A3:8E:60:EB:E1,-64,bijuOffice
42405,00:27:E3:29:CD:E0,-65,bijuOffice
42405,08:4F:A9:2D:77:41,-88,bijuOffice
47208,00:A3:8E:60:EB:E1,-57,bijuOffice
47208,00:27:E3:29:CD:E0,-67,bijuOffice
47208,00:A3:8E:67:4C:81,-69,bijuOffice
47208,08:4F:A9:2D:77:41,-86,bijuOffice
52011,00:A3:8E:60:EB:E1,-61,bijuOffice
52011,00:A3:8E:67:4C:81,-65,bijuOffice
52011,00:27:E3:29:CD:E0,-66,bijuOffice
52011,08:4F:A9:2D:77:41,-90,bijuOffice
56814,00:27:E3:29:CD:E0,-66,bijuOffice
56814,00:A3:8E:60:EB:E1,-66,bijuOffice
56814,00:A3:8E:67:4C:81,-70,bijuOffice
56814,08:4F:A9:2D:77:41,-87,bijuOffice
61617,00:A3:8E:60:EB:E1,-63,bijuOffice
61617,00:A3:8E:67:4C:81,-66,bijuOffice
61617,00:27:E3:29:CD:E0,-71,bijuOffice
61617,08:4F:A9:2D:77:41,-89,bijuOffice
66420,00:A3:8E:60:EB:E1,-62,bijuOffice
66420,00:A3:8E:67:4C:81,-68,bijuOffice
66420,00:27:E3:29:CD:E0,-69,bijuOffice
71213,00:27:E3:29:CD:E0,-64,bijuOffice
71213,00:A3:8E:60:EB:E1,-64,bijuOffice
71213,00:A3:8E:67:4C:81,-69,bijuOffice
71213,08:4F:A9:2D:77:41,-83,bijuOffice
76016,00:A3:8E:60:EB:E1,-57,bijuOffice
76016,00:27:E3:29:CD:E0,-63,bijuOffice
76016,00:A3:8E:67:4C:81,-69,bijuOffice
76016,08:4F:A9:2D:77:41,-86,bijuOffice
80819,00:A3:8E:60:EB:E1,-58,bijuOffice
80819,00:27:E3:29:CD:E0,-66,bijuOffice
80819,00:A3:8E:67:4C:81,-69,bijuOffice
80819,08:4F:A9:2D:77:41,-84,bijuOffice
80819,0C:75:BD:12:BF:A0,-90,bijuOffice
85622,00:A3:8E:60:EB:E1,-59,bijuOffice
85622,00:27:E3:29:CD:E0,-68,bijuOffice
85622,00:A3:8E:67:4C:81,-71,bijuOffice
85622,08:4F:A9:2D:77:41,-86,bijuOffice
90425,00:A3:8E:60:EB:E1,-59,bijuOffice
90425,00:A3:8E:67:4C:81,-64,bijuOffice
90425,00:27:E3:29:CD:E0,-69,bijuOffice
90425,08:4F:A9:2D:77:41,-85,bijuOffice
90425,0C:75:BD:12:BF:A0,-89,bijuOffice
95228,00:27:E3:29:CD:E0,-63,bijuOffice
95228,00:A3:8E:60:EB:E1,-64,bijuOffice
95228,00:A3:8E:67:4C:81,-68,bijuOffice
95228,08:4F:A9:2D:77:41,-89,bijuOffice
100031,00:A3:8E:60:EB:E1,-66,bijuOffice
100031,00:A3:8E:67:4C:81,-67,bijuOffice
100031,00:27:E3:29:CD:E0,-72,bijuOffice
100031,08:4F:A9:2D:77:41,-85,bijuOffice
100031,00:27:E3:29:E8:80,-89,bijuOffice
104834,00:A3:8E:60:EB:E1,-62,bijuOffice
104834,00:A3:8E:67:4C:81,-66,bijuOffice
104834,00:27:E3:29:CD:E0,-74,bijuOffice
104834,00:27:E3:29:E8:80,-88,bijuOffice
109637,00:A3:8E:67:4C:81,-60,bijuOffice
109637,00:A3:8E:60:EB:E1,-76,bijuOffice
109637,00:27:E3:29:CD:E0,-78,bijuOffice
109637,70:EA:1A:22:A9:41,-83,bijuOffice
109637,00:27:E3:29:E8:80,-84,bijuOffice
109637,08:4F:A9:2D:77:41,-84,bijuOffice
109637,70:EA:1A:22:9B:81,-86,bijuOffice
114450,00:A3:8E:67:4C:81,-65,bijuOffice
114450,00:A3:8E:60:EB:E1,-81,bijuOffice
114450,70:EA:1A:22:A9:41,-83,bijuOffice
114450,08:4F:A9:2D:77:41,-84,bijuOffice
114450,00:27:E3:29:CD:E0,-84,bijuOffice
119254,00:A3:8E:67:4C:81,-65,bijuOffice
119254,00:27:E3:29:CD:E0,-79,bijuOffice
119254,00:A3:8E:60:EB:E1,-79,bijuOffice
119254,70:EA:1A:22:A9:41,-83,bijuOffice
119254,70:EA:1A:22:9B:81,-87,bijuOffice
119254,08:4F:A9:2D:77:41,-87,bijuOffice
119254,00:27:E3:29:E8:80,-88,bijuOffice
124067,00:A3:8E:67:4C:81,-67,bijuOffice
124067,00:A3:8E:60:EB:E1,-73,bijuOffice
124067,00:27:E3:29:CD:E0,-80,bijuOffice
124067,70:EA:1A:22:A9:41,-84,bijuOffice
124067,70:EA:1A:22:9B:81,-84,bijuOffice
124067,08:4F:A9:2D:77:41,-87,bijuOffice
124067,00:27:E3:29:E8:80,-88,bijuOffice
128880,00:A3:8E:67:4C:81,-65,bijuOffice
128880,00:A3:8E:60:EB:E1,-75,bijuOffice
128880,00:27:E3:29:CD:E0,-77,bijuOffice
128880,70:EA:1A:22:A9:41,-83,bijuOffice
128880,00:27:E3:29:E8:80,-85,bijuOffice
128880,08:4F:A9:2D:77:41,-85,bijuOffice
128880,70:EA:1A:22:9B:81,-88,bijuOffice
133693,00:A3:8E:67:4C:81,-65,bijuOffice
133693,00:A3:8E:60:EB:E1,-79,bijuOffice
133693,00:27:E3:29:CD:E0,-80,bijuOffice
133693,08:4F:A9:2D:77:41,-85,bijuOffice
138496,00:A3:8E:67:4C:81,-65,bijuOffice
138496,00:27:E3:29:CD:E0,-77,bijuOffice
138496,00:A3:8E:60:EB:E1,-80,bijuOffice
138496,08:4F:A9:2D:77:41,-84,bijuOffice
138496,70:EA:1A:22:A9:41,-85,bijuOffice
138496,00:27:E3:29:E8:80,-87,bijuOffice
143309,00:A3:8E:67:4C:81,-73,bijuOffice
143309,00:A3:8E:60:EB:E1,-76,bijuOffice
143309,00:27:E3:29:CD:E0,-78,bijuOffice
143309,70:EA:1A:22:A9:41,-84,bijuOffice
143309,08:4F:A9:2D:77:41,-86,bijuOffice
148112,00:A3:8E:67:4C:81,-73,bijuOffice
148112,00:A3:8E:60:EB:E1,-75,bijuOffice
148112,00:27:E3:29:CD:E0,-78,bijuOffice
148112,70:EA:1A:22:A9:41,-82,bijuOffice
148112,70:EA:1A:22:9B:81,-86,bijuOffice
148112,08:4F:A9:2D:77:41,-88,bijuOffice
148112,00:27:E3:29:E8:80,-90,bijuOffice
152925,00:A3:8E:67:4C:81,-72,bijuOffice
152925,00:A3:8E:60:EB:E1,-78,bijuOffice
152925,00:27:E3:29:CD:E0,-79,bijuOffice
152925,70:EA:1A:22:A9:41,-84,bijuOffice
152925,08:4F:A9:2D:77:41,-86,bijuOffice
157729,00:A3:8E:67:4C:81,-68,bijuOffice
157729,00:27:E3:29:CD:E0,-76,bijuOffice
157729,00:A3:8E:60:EB:E1,-77,bijuOffice
157729,08:4F:A9:2D:77:41,-80,bijuOffice
157729,70:EA:1A:22:A9:41,-86,bijuOffice
162531,00:A3:8E:67:4C:81,-70,bijuOffice
162531,00:A3:8E:60:EB:E1,-77,bijuOffice
162531,00:27:E3:29:CD:E0,-78,bijuOffice
162531,08:4F:A9:2D:77:41,-82,bijuOffice
162531,70:EA:1A:22:A9:41,-85,bijuOffice
167334,00:A3:8E:67:4C:81,-68,bijuOffice
167334,00:A3:8E:60:EB:E1,-76,bijuOffice
167334,00:27:E3:29:CD:E0,-78,bijuOffice
167334,08:4F:A9:2D:77:41,-82,bijuOffice
167334,70:EA:1A:22:A9:41,-84,bijuOffice
172138,00:A3:8E:67:4C:81,-68,bijuOffice
172138,00:27:E3:29:CD:E0,-77,bijuOffice
172138,00:A3:8E:60:EB:E1,-77,bijuOffice
172138,70:EA:1A:22:A9:41,-86,bijuOffice
172138,08:4F:A9:2D:77:41,-86,bijuOffice
172138,70:EA:1A:22:9B:81,-86,bijuOffice
176950,00:A3:8E:67:4C:81,-69,bijuOffice
176950,00:A3:8E:60:EB:E1,-79,bijuOffice
176950,00:27:E3:29:CD:E0,-80,bijuOffice
176950,70:EA:1A:22:A9:41,-85,bijuOffice
176950,08:4F:A9:2D:77:41,-85,bijuOffice
181753,00:A3:8E:67:4C:81,-62,bijuOffice
181753,00:A3:8E:60:EB:E1,-74,bijuOffice
181753,00:27:E3:29:CD:E0,-75,bijuOffice
181753,08:4F:A9:2D:77:41,-83,bijuOffice
181753,70:EA:1A:22:A9:41,-87,bijuOffice
186556,00:A3:8E:67:4C:81,-63,bijuOffice
186556,00:27:E3:29:CD:E0,-76,bijuOffice
186556,00:A3:8E:60:EB:E1,-79,bijuOffice
186556,08:4F:A9:2D:77:41,-85,bijuOffice
191359,00:A3:8E:67:4C:81,-69,bijuOffice
191359,00:27:E3:29:CD:E0,-78,bijuOffice
191359,00:A3:8E:60:EB:E1,-78,bijuOffice
191359,08:4F:A9:2D:77:41,-86,bijuOffice
191359,70:EA:1A:22:A9:41,-86,bijuOffice
196162,00:A3:8E:67:4C:81,-65,bijuOffice
196162,00:A3:8E:60:EB:E1,-77,bijuOffice
196162,00:27:E3:29:CD:E0,-80,bijuOffice
196162,70:EA:1A:22:A9:41,-85,bijuOffice
196162,08:4F:A9:2D:77:41,-86,bijuOffice
200965,00:A3:8E:67:4C:81,-67,bijuOffice
200965,00:A3:8E:60:EB:E1,-73,bijuOffice
200965,08:4F:A9:2D:77:41,-81,bijuOffice
200965,70:EA:1A:22:A9:41,-83,bijuOffice
200965,00:27:E3:29:CD:E0,-84,bijuOffice
200965,00:27:E3:29:E8:80,-87,bijuOffice
205778,00:A3:8E:67:4C:81,-66,bijuOffice
205778,00:27:E3:29:CD:E0,-82,bijuOffice
205778,00:A3:8E:60:EB:E1,-82,bijuOffice
