timestamp_ms,mac,rssi,channel,location_label
etimestamp,mac,rssi,channel,location_label
3992,00:A3:8E:60:EB:E1,-60,11,bijuOffice
3992,00:27:E3:29:CD:E0,-66,6,bijuOffice
3992,00:A3:8E:67:4C:81,-71,1,bijuOffice
8784,00:A3:8E:60:EB:E1,-59,11,bijuOffice
8784,00:A3:8E:67:4C:81,-67,1,bijuOffice
8784,00:27:E3:29:CD:E0,-67,6,bijuOffice
8784,00:A3:8E:60:F3:80,-90,1,bijuOffice
13587,00:A3:8E:60:EB:E1,-65,11,bijuOffice
13587,00:A3:8E:67:4C:81,-68,1,bijuOffice
13587,00:27:E3:29:CD:E0,-71,6,bijuOffice
13587,08:4F:A9:2D:77:41,-83,6,bijuOffice
18390,00:A3:8E:60:EB:E1,-61,11,bijuOffice
18390,00:27:E3:29:CD:E0,-63,6,bijuOffice
18390,00:A3:8E:67:4C:81,-72,1,bijuOffice
18390,08:4F:A9:2D:77:41,-88,6,bijuOffice
18390,00:27:E3:29:E8:80,-88,6,bijuOffice
23193,00:27:E3:29:CD:E0,-61,6,bijuOffice
23193,00:A3:8E:60:EB:E1,-61,11,bijuOffice
23193,00:A3:8E:67:4C:81,-69,1,bijuOffice
23193,08:4F:A9:2D:77:41,-86,6,bijuOffice
27996,00:A3:8E:67:4C:81,-65,1,bijuOffice
27996,00:A3:8E:60:EB:E1,-65,11,bijuOffice
27996,00:27:E3:29:CD:E0,-68,6,bijuOffice
27996,08:4F:A9:2D:77:41,-89,6,bijuOffice
32799,00:A3:8E:67:4C:81,-64,1,bijuOffice
32799,00:A3:8E:60:EB:E1,-64,11,bijuOffice
32799,00:27:E3:29:CD:E0,-71,6,bijuOffice
32799,08:4F:A9:2D:77:41,-86,6,bijuOffice
37602,00:A3:8E:67:4C:81,-63,1,bijuOffice
37602,00:A3:8E:60:EB:E1,-65,11,bijuOffice
37602,00:27:E3:29:CD:E0,-71,6,bijuOffice
37602,08:4F:A9:2D:77:41,-85,6,bijuOffice
42405,00:A3:8E:67:4C:81,-64,1,bijuOffice
42405,00:A3:8E:60:EB:E1,-64,11,bijuOffice
42405,00:27:E3:29:CD:E0,-65,6,bijuOffice
42405,08:4F:A9:2D:77:41,-88,6,bijuOffice
47208,00:A3:8E:60:EB:E1,-57,11,bijuOffice
47208,00:27:E3:29:CD:E0,-67,6,bijuOffice
47208,00:A3:8E:67:4C:81,-69,1,bijuOffice
47208,08:4F:A9:2D:77:41,-86,6,bijuOffice
52011,00:A3:8E:60:EB:E1,-61,11,bijuOffice
52011,00:A3:8E:67:4C:81,-65,1,bijuOffice
52011,00:27:E3:29:CD:E0,-66,6,bijuOffice
52011,08:4F:A9:2D:77:41,-90,6,bijuOffice
56814,00:27:E3:29:CD:E0,-66,6,bijuOffice
56814,00:A3:8E:60:EB:E1,-66,11,bijuOffice
56814,00:A3:8E:67:4C:81,-70,1,bijuOffice
56814,08:4F:A9:2D:77:41,-87,6,bijuOffice
61617,00:A3:8E:60:EB:E1,-63,11,bijuOffice
61617,00:A3:8E:67:4C:81,-66,1,bijuOffice
61617,00:27:E3:29:CD:E0,-71,6,bijuOffice
61617,08:4F:A9:2D:77:41,-89,6,bijuOffice
66420,00:A3:8E:60:EB:E1,-62,11,bijuOffice
66420,00:A3:8E:67:4C:81,-68,1,bijuOffice
66420,00:27:E3:29:CD:E0,-69,6,bijuOffice
71213,00:27:E3:29:CD:E0,-64,6,bijuOffice
71213,00:A3:8E:60:EB:E1,-64,11,bijuOffice
71213,00:A3:8E:67:4C:81,-69,1,bijuOffice
71213,08:4F:A9:2D:77:41,-83,6,bijuOffice
76016,00:A3:8E:60:EB:E1,-57,11,bijuOffice
76016,00:27:E3:29:CD:E0,-63,6,bijuOffice
76016,00:A3:8E:67:4C:81,-69,1,bijuOffice
76016,08:4F:A9:2D:77:41,-86,6,bijuOffice
80819,00:A3:8E:60:EB:E1,-58,11,bijuOffice
80819,00:27:E3:29:CD:E0,-66,6,bijuOffice
80819,00:A3:8E:67:4C:81,-69,1,bijuOffice
80819,08:4F:A9:2D:77:41,-84,6,bijuOffice
