timestamp_ms,mac,rssi,channel,location_label
4195,08:4F:A9:30:00:01,-43,11,csHoD
4195,00:A3:8E:4E:29:A1,-50,1,csHoD
4195,08:4F:A9:39:6A:41,-50,1,csHoD
4195,4C:77:6D:10:31:E1,-61,6,csHoD
4195,08:4F:A9:39:68:21,-62,11,csHoD
4195,70:EA:1A:22:9F:21,-67,11,csHoD
4195,08:4F:A9:2D:8A:41,-68,1,csHoD
4195,08:4F:A9:2D:8A:A1,-71,6,csHoD
4195,70:EA:1A:22:A9:41,-71,6,csHoD
4195,70:EA:1A:22:9F:E1,-81,1,csHoD
9209,08:4F:A9:30:00:01,-41,11,csHoD
9209,00:A3:8E:4E:29:A1,-51,1,csHoD
9209,4C:77:6D:10:31:E1,-52,6,csHoD
9209,08:4F:A9:39:6A:41,-57,1,csHoD
9209,70:EA:1A:22:9F:21,-62,11,csHoD
9209,08:4F:A9:2D:8A:41,-67,1,csHoD
9209,08:4F:A9:39:68:21,-67,11,csHoD
9209,08:4F:A9:2D:8A:A1,-70,6,csHoD
9209,70:EA:1A:22:A9:41,-71,6,csHoD
9209,70:EA:1A:22:9F:E1,-81,1,csHoD
9209,00:A3:8E:67:4C:81,-86,1,csHoD
14033,08:4F:A9:30:00:01,-43,11,csHoD
14033,4C:77:6D:10:31:E1,-51,6,csHoD
14033,00:A3:8E:4E:29:A1,-57,1,csHoD
14033,08:4F:A9:39:6A:41,-57,1,csHoD
14033,70:EA:1A:22:9F:21,-62,11,csHoD
14033,08:4F:A9:39:68:21,-68,11,csHoD
14033,08:4F:A9:2D:8A:A1,-72,6,csHoD
14033,08:4F:A9:2D:8A:41,-73,1,csHoD
14033,70:EA:1A:22:A9:41,-74,6,csHoD
14033,70:EA:1A:22:9F:E1,-85,1,csHoD
14033,00:A3:8E:67:4C:81,-87,1,csHoD
14033,08:4F:A9:10:4B:81,-88,11,csHoD
18856,08:4F:A9:30:00:01,-44,11,csHoD
18856,00:A3:8E:4E:29:A1,-51,1,csHoD
18856,4C:77:6D:10:31:E1,-51,6,csHoD
18856,08:4F:A9:39:6A:41,-52,1,csHoD
