timestamp_ms,mac,rssi,channel,location_label
3993,70:EA:1A:22:96:A1,-65,1,d151d153
3993,70:EA:1A:22:A9:41,-71,6,d151d153
3993,70:EA:1A:22:9B:81,-74,6,d151d153
3993,00:A3:8E:4E:29:A1,-75,1,d151d153
3993,70:EA:1A:22:96:21,-75,11,d151d153
3993,08:4F:A9:2D:8A:41,-82,1,d151d153
3993,00:27:E3:29:E8:80,-84,6,d151d153
3993,70:EA:1A:22:8F:E1,-85,1,d151d153
3993,70:EA:1A:22:9F:21,-85,11,d151d153
3993,00:27:E3:29:DC:00,-87,1,d151d153
3993,08:4F:A9:30:00:01,-88,11,d151d153
3993,08:4F:A9:39:68:21,-88,11,d151d153
8816,70:EA:1A:22:A9:41,-63,6,d151d153
8816,70:EA:1A:22:9B:81,-72,6,d151d153
8816,70:EA:1A:22:96:A1,-73,1,d151d153
8816,70:EA:1A:22:96:21,-81,11,d151d153
8816,00:A3:8E:4E:29:A1,-83,1,d151d153
8816,08:4F:A9:2D:8A:41,-83,1,d151d153
8816,70:EA:1A:22:8F:E1,-85,1,d151d153
8816,08:4F:A9:30:00:01,-85,11,d151d153
8816,08:4F:A9:39:68:21,-85,11,d151d153
13629,70:EA:1A:22:A9:41,-60,6,d151d153
13629,70:EA:1A:22:9B:81,-72,6,d151d153
13629,00:A3:8E:4E:29:A1,-75,1,d151d153
13629,70:EA:1A:22:96:A1,-82,1,d151d153
13629,08:4F:A9:2D:8A:41,-82,1,d151d153
13629,08:4F:A9:39:68:21,-85,11,d151d153
13629,70:EA:1A:22:96:21,-85,11,d151d153
13629,70:EA:1A:22:8F:E1,-86,1,d151d153
13629,08:4F:A9:2D:8A:A1,-86,6,d151d153
13629,70:EA:1A:22:9F:21,-86,11,d151d153
13629,08:4F:A9:30:00:01,-86,11,d151d153
18453,70:EA:1A:22:A9:41,-62,6,d151d153
18453,00:A3:8E:4E:29:A1,-73,1,d151d153
18453,70:EA:1A:22:9B:81,-75,6,d151d153
18453,08:4F:A9:39:68:21,-81,11,d151d153
18453,70:EA:1A:22:96:A1,-83,1,d151d153
18453,4C:77:6D:10:31:E1,-85,6,d151d153
18453,70:EA:1A:22:96:21,-85,11,d151d153
18453,08:4F:A9:30:00:01,-85,11,d151d153
18453,08:4F:A9:2D:8A:41,-86,1,d151d153
18453,70:EA:1A:22:A5:A1,-86,11,d151d153
18453,70:EA:1A:22:9F:21,-86,11,d151d153
18453,08:4F:A9:39:6A:41,-89,1,d151d153
18453,08:4F:A9:10:4B:81,-90,11,d151d153
23287,70:EA:1A:22:A9:41,-62,6,d151d153
23287,70:EA:1A:22:96:A1,-72,1,d151d153
23287,00:A3:8E:4E:29:A1,-76,1,d151d153
23287,70:EA:1A:22:9B:81,-76,6,d151d153
23287,08:4F:A9:2D:8A:41,-78,1,d151d153
23287,70:EA:1A:22:96:21,-79,11,d151d153
23287,70:EA:1A:22:9F:21,-87,11,d151d153
23287,08:4F:A9:39:68:21,-88,11,d151d153
23287,08:4F:A9:30:00:01,-88,11,d151d153
28101,70:EA:1A:22:A9:41,-66,6,d151d153
28101,70:EA:1A:22:9B:81,-70,6,d151d153
28101,00:A3:8E:4E:29:A1,-76,1,d151d153
28101,70:EA:1A:22:96:A1,-78,1,d151d153
28101,70:EA:1A:22:96:21,-83,11,d151d153
