timestamp_ms,mac,rssi,channel,location_label
3791,70:EA:1A:22:9B:81,-69,6,d171
3791,70:EA:1A:22:96:A1,-84,1,d171
3791,00:27:E3:29:E8:80,-86,6,d171
8384,70:EA:1A:22:9B:81,-66,6,d171
8384,70:EA:1A:22:96:A1,-86,1,d171
13176,70:EA:1A:22:9B:81,-67,6,d171
13176,70:EA:1A:22:96:A1,-84,1,d171
13176,00:A3:8E:67:4C:81,-87,1,d171
13176,70:EA:1A:22:96:21,-87,11,d171
13176,00:A3:8E:60:EB:E1,-87,11,d171
17779,70:EA:1A:22:9B:81,-66,6,d171
17779,70:EA:1A:22:96:A1,-86,1,d171
22771,70:EA:1A:22:9B:81,-73,6,d171
22771,70:EA:1A:22:96:A1,-82,1,d171
22771,00:A3:8E:67:4C:81,-86,1,d171
22771,00:A3:8E:60:EB:E1,-88,11,d171
27574,70:EA:1A:22:9B:81,-65,6,d171
27574,70:EA:1A:22:96:A1,-84,1,d171
27574,00:A3:8E:67:4C:81,-85,1,d171
27574,70:EA:1A:22:96:21,-89,11,d171
32377,70:EA:1A:22:9B:81,-66,6,d171
32377,70:EA:1A:22:96:A1,-84,1,d171
32377,00:A3:8E:67:4C:81,-84,1,d171
37370,70:EA:1A:22:9B:81,-68,6,d171
37370,70:EA:1A:22:96:A1,-87,1,d171
42163,70:EA:1A:22:9B:81,-66,6,d171
42163,70:EA:1A:22:96:A1,-85,1,d171
42163,00:A3:8E:67:4C:81,-86,1,d171
46956,70:EA:1A:22:9B:81,-76,6,d171
46956,70:EA:1A:22:96:A1,-86,1,d171
46956,70:EA:1A:22:96:21,-88,11,d171
46956,00:A3:8E:60:EB:E1,-90,11,d171
51959,70:EA:1A:22:9B:81,-69,6,d171
51959,00:A3:8E:67:4C:81,-80,1,d171
51959,70:EA:1A:22:96:A1,-84,1,d171
51959,70:EA:1A:22:96:21,-87,11,d171
51959,00:A3:8E:60:EB:E1,-89,11,d171
56962,70:EA:1A:22:9B:81,-70,6,d171
56962,70:EA:1A:22:96:A1,-84,1,d171
56962,00:A3:8E:67:4C:81,-86,1,d171
56962,00:A3:8E:60:EB:E1,-88,11,d171
56962,70:EA:1A:22:96:21,-89,11,d171
61765,70:EA:1A:22:9B:81,-77,6,d171
61765,70:EA:1A:22:96:A1,-84,1,d171
61765,00:A3:8E:67:4C:81,-85,1,d171
66558,70:EA:1A:22:9B:81,-77,6,d171
71350,70:EA:1A:22:9B:81,-75,6,d171
71350,70:EA:1A:22:96:A1,-88,1,d171
71350,00:27:E3:29:E8:80,-88,6,d171
71350,00:A3:8E:67:4C:81,-89,1,d171
76353,70:EA:1A:22:9B:81,-78,6,d171
76353,00:A3:8E:60:EB:E1,-84,11,d171
76353,70:EA:1A:22:96:A1,-86,1,d171
76353,70:EA:1A:22:9F:E1,-87,1,d171
76353,00:27:E3:29:CD:E0,-87,6,d171
76353,00:27:E3:29:E8:80,-89,6,d171
81156,70:EA:1A:22:9B:81,-76,6,d171
86148,70:EA:1A:22:9B:81,-74,6,d171
86148,70:EA:1A:22:96:A1,-87,1,d171
86148,00:A3:8E:60:EB:E1,-89,11,d171
90741,70:EA:1A:22:9B:81,-74,6,d171
