timestamp_ms,mac,rssi,channel,location_label
3991,08:4F:A9:10:4B:81,-55,11,dlt8
3991,08:4F:A9:2D:8A:A1,-57,6,dlt8
3991,70:EA:1A:22:8F:E1,-63,1,dlt8
3991,08:4F:A9:2D:8A:41,-65,1,dlt8
3991,70:EA:1A:22:A9:A1,-66,1,dlt8
3991,70:EA:1A:22:A9:41,-68,6,dlt8
3991,08:4F:A9:39:68:21,-71,11,dlt8
3991,70:EA:1A:22:9F:21,-75,11,dlt8
3991,00:A3:8E:4E:29:A1,-76,1,dlt8
3991,40:01:7A:01:B8:82,-82,6,dlt8
3991,08:4F:A9:30:00:01,-83,11,dlt8
3991,40:01:7A:B1:00:42,-85,1,dlt8
3991,70:EA:1A:22:A5:A1,-87,11,dlt8
3991,70:EA:1A:22:96:A1,-89,1,dlt8
3991,40:01:7A:AF:D3:62,-89,11,dlt8
3991,70:EA:1A:22:96:21,-92,11,dlt8
9026,08:4F:A9:10:4B:81,-50,11,dlt8
9026,70:EA:1A:22:8F:E1,-51,1,dlt8
9026,08:4F:A9:2D:8A:A1,-51,6,dlt8
9026,70:EA:1A:22:A9:41,-61,6,dlt8
9026,08:4F:A9:2D:8A:41,-63,1,dlt8
9026,70:EA:1A:22:A9:A1,-65,1,dlt8
9026,08:4F:A9:39:68:21,-75,11,dlt8
9026,70:EA:1A:22:9F:21,-76,11,dlt8
9026,00:A3:8E:4E:29:A1,-79,1,dlt8
9026,40:01:7A:01:B8:82,-80,6,dlt8
9026,70:EA:1A:22:96:A1,-85,1,dlt8
9026,08:4F:A9:2D:77:41,-87,6,dlt8
9026,40:01:7A:AF:D3:62,-87,11,dlt8
9026,08:4F:A9:30:00:01,-88,11,dlt8
14050,08:4F:A9:10:4B:81,-46,11,dlt8
14050,70:EA:1A:22:8F:E1,-56,1,dlt8
14050,08:4F:A9:2D:8A:A1,-57,6,dlt8
14050,08:4F:A9:2D:8A:41,-59,1,dlt8
14050,70:EA:1A:22:A9:A1,-62,1,dlt8
14050,08:4F:A9:39:68:21,-64,11,dlt8
14050,70:EA:1A:22:A9:41,-70,6,dlt8
14050,70:EA:1A:22:9F:21,-71,11,dlt8
14050,00:A3:8E:4E:29:A1,-73,1,dlt8
14050,70:EA:1A:22:96:A1,-82,1,dlt8
14050,40:01:7A:01:B8:82,-84,6,dlt8
14050,08:4F:A9:30:00:01,-87,11,dlt8
18873,08:4F:A9:10:4B:81,-47,11,dlt8
18873,70:EA:1A:22:8F:E1,-51,1,dlt8
18873,08:4F:A9:2D:8A:A1,-55,6,dlt8
18873,08:4F:A9:2D:8A:41,-63,1,dlt8
18873,70:EA:1A:22:A9:A1,-66,1,dlt8
18873,70:EA:1A:22:A9:41,-73,6,dlt8
18873,08:4F:A9:39:68:21,-73,11,dlt8
18873,00:A3:8E:4E:29:A1,-78,1,dlt8
18873,70:EA:1A:22:9F:21,-78,11,dlt8
18873,40:01:7A:01:B8:82,-82,6,dlt8
18873,70:EA:1A:22:A5:A1,-83,11,dlt8
18873,70:EA:1A:22:96:A1,-85,1,dlt8
18873,08:4F:A9:30:00:01,-85,11,dlt8
23697,70:EA:1A:22:8F:E1,-49,1,dlt8
23697,08:4F:A9:10:4B:81,-52,11,dlt8
23697,08:4F:A9:2D:8A:A1,-56,6,dlt8
23697,08:4F:A9:2D:8A:41,-65,1,dlt8
23697,70:EA:1A:22:A9:A1,-66,1,dlt8
23697,70:EA:1A:22:A9:41,-70,6,dlt8
23697,08:4F:A9:39:68:21,-70,11,dlt8
23697,70:EA:1A:22:9F:21,-75,11,dlt8
23697,00:A3:8E:4E:29:A1,-80,1,dlt8
23697,70:EA:1A:22:A5:A1,-81,11,dlt8
23697,40:01:7A:01:B8:82,-84,6,dlt8
23697,70:EA:1A:22:9F:E1,-86,1,dlt8
23697,40:01:7A:B1:00:42,-87,1,dlt8
23697,70:EA:1A:22:96:A1,-88,1,dlt8
23697,08:4F:A9:2D:77:41,-88,6,dlt8
23697,08:4F:A9:30:00:01,-89,11,dlt8
23697,40:01:7A:C6:A5:62,-89,11,dlt8
28532,70:EA:1A:22:8F:E1,-49,1,dlt8
28532,08:4F:A9:10:4B:81,-51,11,dlt8
28532,08:4F:A9:2D:8A:A1,-54,6,dlt8
28532,08:4F:A9:2D:8A:41,-60,1,dlt8
28532,70:EA:1A:22:A9:A1,-66,1,dlt8
28532,70:EA:1A:22:A9:41,-71,6,dlt8
28532,08:4F:A9:39:68:21,-71,11,dlt8
28532,00:A3:8E:4E:29:A1,-77,1,dlt8
28532,70:EA:1A:22:9F:21,-78,11,dlt8
28532,70:EA:1A:22:A5:A1,-83,11,dlt8
28532,70:EA:1A:22:9F:E1,-87,1,dlt8
28532,40:01:7A:01:B8:82,-87,6,dlt8
28532,08:4F:A9:30:00:01,-87,11,dlt8
28532,40:01:7A:C6:A5:62,-87,11,dlt8
28532,40:01:7A:B1:00:42,-88,1,dlt8
33366,08:4F:A9:10:4B:81,-45,11,dlt8
33366,70:EA:1A:22:8F:E1,-51,1,dlt8
33366,08:4F:A9:2D:8A:A1,-52,6,dlt8
33366,08:4F:A9:2D:8A:41,-55,1,dlt8
33366,08:4F:A9:39:68:21,-62,11,dlt8
33366,70:EA:1A:22:A9:A1,-66,1,dlt8
33366,70:EA:1A:22:A9:41,-68,6,dlt8
33366,70:EA:1A:22:9F:21,-70,11,dlt8
33366,00:A3:8E:4E:29:A1,-76,1,dlt8
33366,40:01:7A:01:B8:82,-80,6,dlt8
33366,70:EA:1A:22:96:A1,-81,1,dlt8
33366,70:EA:1A:22:A5:A1,-81,11,dlt8
33366,08:4F:A9:2D:77:41,-87,6,dlt8
33366,40:01:7A:AF:D3:62,-88,11,dlt8
33366,40:01:7A:01:B3:82,-90,11,dlt8
38199,08:4F:A9:10:4B:81,-50,11,dlt8
38199,70:EA:1A:22:8F:E1,-51,1,dlt8
38199,08:4F:A9:2D:8A:A1,-59,6,dlt8
38199,08:4F:A9:2D:8A:41,-60,1,dlt8
38199,08:4F:A9:39:68:21,-65,11,dlt8
38199,70:EA:1A:22:9F:21,-67,11,dlt8
38199,70:EA:1A:22:A9:A1,-68,1,dlt8
38199,70:EA:1A:22:A9:41,-69,6,dlt8
38199,00:A3:8E:4E:29:A1,-74,1,dlt8
38199,70:EA:1A:22:96:A1,-78,1,dlt8
38199,08:4F:A9:30:00:01,-81,11,dlt8
38199,40:01:7A:01:B8:82,-83,6,dlt8
38199,70:EA:1A:22:A5:A1,-84,11,dlt8
38199,40:01:7A:B1:00:42,-86,1,dlt8
38199,40:01:7A:AF:D3:62,-88,11,dlt8
38199,40:01:7A:C6:A5:62,-89,11,dlt8
38199,70:EA:1A:22:96:21,-90,11,dlt8
43034,08:4F:A9:10:4B:81,-44,11,dlt8
43034,70:EA:1A:22:8F:E1,-52,1,dlt8
43034,08:4F:A9:2D:8A:A1,-56,6,dlt8
43034,08:4F:A9:2D:8A:41,-60,1,dlt8
43034,08:4F:A9:39:68:21,-62,11,dlt8
43034,70:EA:1A:22:9F:21,-67,11,dlt8
43034,70:EA:1A:22:A9:A1,-68,1,dlt8
43034,70:EA:1A:22:A9:41,-68,6,dlt8
43034,00:A3:8E:4E:29:A1,-75,1,dlt8
43034,70:EA:1A:22:96:A1,-75,1,dlt8
43034,40:01:7A:01:B8:82,-80,6,dlt8
43034,08:4F:A9:30:00:01,-82,11,dlt8
43034,70:EA:1A:22:A5:A1,-86,11,dlt8
43034,40:01:7A:AF:D3:62,-87,11,dlt8
48068,08:4F:A9:10:4B:81,-45,11,dlt8
48068,70:EA:1A:22:8F:E1,-51,1,dlt8
48068,08:4F:A9:2D:8A:41,-57,1,dlt8
48068,08:4F:A9:2D:8A:A1,-61,6,dlt8
48068,08:4F:A9:39:68:21,-64,11,dlt8
48068,70:EA:1A:22:A9:A1,-66,1,dlt8
48068,70:EA:1A:22:A9:41,-67,6,dlt8
48068,70:EA:1A:22:9F:21,-67,11,dlt8
48068,70:EA:1A:22:96:A1,-74,1,dlt8
48068,00:A3:8E:4E:29:A1,-77,1,dlt8
48068,40:01:7A:01:B8:82,-83,6,dlt8
48068,08:4F:A9:30:00:01,-83,11,dlt8
48068,40:01:7A:AF:D3:62,-90,11,dlt8
52891,70:EA:1A:22:8F:E1,-50,1,dlt8
52891,08:4F:A9:2D:8A:A1,-54,6,dlt8
52891,08:4F:A9:10:4B:81,-55,11,dlt8
52891,70:EA:1A:22:A9:A1,-62,1,dlt8
52891,08:4F:A9:2D:8A:41,-62,1,dlt8
52891,70:EA:1A:22:A9:41,-72,6,dlt8
52891,08:4F:A9:39:68:21,-72,11,dlt8
52891,00:A3:8E:4E:29:A1,-74,1,dlt8
52891,70:EA:1A:22:9F:21,-78,11,dlt8
52891,70:EA:1A:22:96:A1,-79,1,dlt8
52891,70:EA:1A:22:A5:A1,-84,11,dlt8
52891,40:01:7A:B1:00:42,-85,1,dlt8
52891,40:01:7A:01:B8:82,-86,6,dlt8
52891,40:01:7A:AF:D3:62,-86,11,dlt8
