timestamp_ms,mac,rssi,channel,location_label
3990,70:EA:1A:22:8F:E1,-68,1,iotLab2
3990,08:4F:A9:2D:77:41,-71,6,iotLab2
3990,70:EA:1A:22:A5:A1,-73,11,iotLab2
3990,70:EA:1A:22:A9:41,-86,6,iotLab2
8793,70:EA:1A:22:8F:E1,-72,1,iotLab2
8793,70:EA:1A:22:A5:A1,-72,11,iotLab2
8793,08:4F:A9:2D:77:41,-75,6,iotLab2
8793,70:EA:1A:22:A9:41,-84,6,iotLab2
8793,08:4F:A9:10:4B:81,-88,11,iotLab2
13596,70:EA:1A:22:8F:E1,-65,1,iotLab2
13596,08:4F:A9:2D:77:41,-74,6,iotLab2
13596,70:EA:1A:22:A5:A1,-76,11,iotLab2
13596,08:4F:A9:10:4B:81,-90,11,iotLab2
18399,70:EA:1A:22:8F:E1,-65,1,iotLab2
18399,08:4F:A9:2D:77:41,-71,6,iotLab2
18399,70:EA:1A:22:A5:A1,-77,11,iotLab2
18399,70:EA:1A:22:A9:41,-85,6,iotLab2
23202,70:EA:1A:22:8F:E1,-62,1,iotLab2
23202,08:4F:A9:2D:77:41,-71,6,iotLab2
23202,70:EA:1A:22:A5:A1,-73,11,iotLab2
23202,70:EA:1A:22:A9:41,-84,6,iotLab2
28005,70:EA:1A:22:8F:E1,-67,1,iotLab2
28005,08:4F:A9:2D:77:41,-70,6,iotLab2
28005,70:EA:1A:22:A5:A1,-79,11,iotLab2
28005,70:EA:1A:22:A9:41,-87,6,iotLab2
28005,08:4F:A9:10:4B:81,-91,11,iotLab2
32808,70:EA:1A:22:8F:E1,-65,1,iotLab2
32808,08:4F:A9:2D:77:41,-71,6,iotLab2
32808,70:EA:1A:22:A5:A1,-74,11,iotLab2
37600,70:EA:1A:22:8F:E1,-71,1,iotLab2
37600,08:4F:A9:2D:77:41,-73,6,iotLab2
37600,70:EA:1A:22:A5:A1,-76,11,iotLab2
42392,70:EA:1A:22:8F:E1,-73,1,iotLab2
42392,08:4F:A9:2D:77:41,-75,6,iotLab2
42392,70:EA:1A:22:A5:A1,-76,11,iotLab2
42392,70:EA:1A:22:A9:41,-88,6,iotLab2
47195,70:EA:1A:22:8F:E1,-70,1,iotLab2
47195,08:4F:A9:2D:77:41,-72,6,iotLab2
47195,70:EA:1A:22:A5:A1,-78,11,iotLab2
47195,08:4F:A9:10:4B:81,-90,11,iotLab2
51998,08:4F:A9:2D:77:41,-70,6,iotLab2
51998,70:EA:1A:22:8F:E1,-72,1,iotLab2
51998,70:EA:1A:22:A5:A1,-76,11,iotLab2
51998,70:EA:1A:22:A9:41,-86,6,iotLab2
56801,70:EA:1A:22:8F:E1,-64,1,iotLab2
56801,08:4F:A9:2D:77:41,-74,6,iotLab2
56801,70:EA:1A:22:A5:A1,-75,11,iotLab2
56801,70:EA:1A:22:A9:41,-86,6,iotLab2
61604,70:EA:1A:22:8F:E1,-61,1,iotLab2
61604,70:EA:1A:22:A5:A1,-73,11,iotLab2
61604,08:4F:A9:2D:77:41,-74,6,iotLab2
61604,70:EA:1A:22:A9:41,-83,6,iotLab2
66407,70:EA:1A:22:8F:E1,-62,1,iotLab2
66407,08:4F:A9:2D:77:41,-72,6,iotLab2
66407,70:EA:1A:22:A5:A1,-73,11,iotLab2
66407,70:EA:1A:22:A9:41,-84,6,iotLab2
71210,70:EA:1A:22:8F:E1,-67,1,iotLab2
