timestamp_ms,mac,rssi,channel,location_label
4007,08:4F:A9:10:4B:81,-62,11,itRoom
4007,70:EA:1A:22:A9:41,-67,6,itRoom
4007,70:EA:1A:22:9F:21,-68,11,itRoom
4007,70:EA:1A:22:8F:E1,-72,1,itRoom
4007,70:EA:1A:22:A9:A1,-72,1,itRoom
4007,00:A3:8E:4E:29:A1,-76,1,itRoom
4007,70:EA:1A:22:A5:A1,-78,11,itRoom
4007,08:4F:A9:2D:8A:A1,-83,6,itRoom
4007,08:4F:A9:30:00:01,-83,11,itRoom
4007,08:4F:A9:2D:8A:41,-85,1,itRoom
4007,08:4F:A9:2D:77:41,-85,6,itRoom
8830,08:4F:A9:10:4B:81,-63,11,itRoom
8830,70:EA:1A:22:A9:41,-67,6,itRoom
8830,70:EA:1A:22:9F:21,-67,11,itRoom
8830,00:A3:8E:4E:29:A1,-76,1,itRoom
8830,70:EA:1A:22:A9:A1,-76,1,itRoom
8830,70:EA:1A:22:8F:E1,-76,1,itRoom
8830,08:4F:A9:2D:8A:A1,-77,6,itRoom
8830,70:EA:1A:22:A5:A1,-78,11,itRoom
8830,08:4F:A9:30:00:01,-86,11,itRoom
8830,08:4F:A9:2D:8A:41,-88,1,itRoom
13643,70:EA:1A:22:A9:41,-63,6,itRoom
13643,08:4F:A9:10:4B:81,-68,11,itRoom
13643,70:EA:1A:22:9F:21,-70,11,itRoom
13643,70:EA:1A:22:8F:E1,-75,1,itRoom
13643,70:EA:1A:22:A9:A1,-78,1,itRoom
13643,00:A3:8E:4E:29:A1,-78,1,itRoom
13643,70:EA:1A:22:A5:A1,-79,11,itRoom
13643,08:4F:A9:2D:8A:A1,-80,6,itRoom
13643,08:4F:A9:30:00:01,-84,11,itRoom
13643,08:4F:A9:2D:8A:41,-86,1,itRoom
18467,70:EA:1A:22:9F:21,-64,11,itRoom
18467,08:4F:A9:10:4B:81,-66,11,itRoom
18467,70:EA:1A:22:A9:41,-73,6,itRoom
18467,70:EA:1A:22:A9:A1,-75,1,itRoom
18467,00:A3:8E:4E:29:A1,-76,1,itRoom
18467,70:EA:1A:22:8F:E1,-77,1,itRoom
18467,70:EA:1A:22:A5:A1,-77,11,itRoom
18467,08:4F:A9:2D:8A:A1,-79,6,itRoom
18467,08:4F:A9:30:00:01,-86,11,itRoom
23480,08:4F:A9:10:4B:81,-62,11,itRoom
23480,70:EA:1A:22:9F:21,-68,11,itRoom
23480,70:EA:1A:22:8F:E1,-69,1,itRoom
23480,70:EA:1A:22:A9:41,-69,6,itRoom
23480,70:EA:1A:22:A9:A1,-76,1,itRoom
23480,08:4F:A9:2D:8A:A1,-76,6,itRoom
23480,00:A3:8E:4E:29:A1,-78,1,itRoom
23480,70:EA:1A:22:A5:A1,-78,11,itRoom
23480,08:4F:A9:2D:8A:41,-87,1,itRoom
23480,08:4F:A9:2D:77:41,-87,6,itRoom
23480,08:4F:A9:30:00:01,-89,11,itRoom
28504,08:4F:A9:10:4B:81,-60,11,itRoom
28504,70:EA:1A:22:9F:21,-66,11,itRoom
28504,70:EA:1A:22:A9:41,-69,6,itRoom
28504,00:A3:8E:4E:29:A1,-74,1,itRoom
28504,70:EA:1A:22:8F:E1,-76,1,itRoom
28504,08:4F:A9:2D:8A:A1,-77,6,itRoom
28504,70:EA:1A:22:A9:A1,-78,1,itRoom
28504,70:EA:1A:22:A5:A1,-78,11,itRoom
28504,08:4F:A9:30:00:01,-83,11,itRoom
28504,08:4F:A9:2D:77:41,-86,6,itRoom
33328,70:EA:1A:22:A9:41,-67,6,itRoom
33328,08:4F:A9:10:4B:81,-67,11,itRoom
33328,70:EA:1A:22:8F:E1,-70,1,itRoom
33328,70:EA:1A:22:9F:21,-71,11,itRoom
33328,70:EA:1A:22:A9:A1,-76,1,itRoom
33328,00:A3:8E:4E:29:A1,-78,1,itRoom
33328,70:EA:1A:22:A5:A1,-78,11,itRoom
33328,08:4F:A9:2D:8A:A1,-80,6,itRoom
33328,08:4F:A9:2D:77:41,-88,6,itRoom
33328,08:4F:A9:2D:8A:41,-89,1,itRoom
38152,08:4F:A9:10:4B:81,-64,11,itRoom
38152,70:EA:1A:22:A9:41,-66,6,itRoom
38152,70:EA:1A:22:9F:21,-71,11,itRoom
38152,00:A3:8E:4E:29:A1,-75,1,itRoom
38152,70:EA:1A:22:8F:E1,-76,1,itRoom
38152,70:EA:1A:22:A9:A1,-76,1,itRoom
38152,08:4F:A9:2D:8A:A1,-78,6,itRoom
38152,70:EA:1A:22:A5:A1,-80,11,itRoom
38152,08:4F:A9:30:00:01,-84,11,itRoom
38152,08:4F:A9:2D:8A:41,-88,1,itRoom
38152,08:4F:A9:2D:77:41,-88,6,itRoom
43176,70:EA:1A:22:9F:21,-67,11,itRoom
43176,08:4F:A9:10:4B:81,-69,11,itRoom
43176,70:EA:1A:22:A9:41,-72,6,itRoom
43176,70:EA:1A:22:A9:A1,-77,1,itRoom
43176,08:4F:A9:2D:8A:A1,-78,6,itRoom
43176,00:A3:8E:4E:29:A1,-79,1,itRoom
43176,70:EA:1A:22:8F:E1,-81,1,itRoom
43176,70:EA:1A:22:A5:A1,-82,11,itRoom
43176,08:4F:A9:2D:8A:41,-87,1,itRoom
