timestamp_ms,mac,rssi,channel,location_label
etimestamp,mac,rssi,channel,location_label
4194,70:EA:1A:22:9F:E1,-67,1,meetingRoom
4194,08:4F:A9:39:68:21,-69,11,meetingRoom
4194,08:4F:A9:39:6A:41,-71,1,meetingRoom
4194,08:4F:A9:2D:8A:41,-74,1,meetingRoom
4194,70:EA:1A:22:A9:41,-75,6,meetingRoom
4194,08:4F:A9:2D:8A:A1,-76,6,meetingRoom
4194,08:4F:A9:30:00:01,-77,11,meetingRoom
4194,00:A3:8E:4E:29:A1,-89,1,meetingRoom
9208,70:EA:1A:22:9F:E1,-58,1,meetingRoom
9208,08:4F:A9:39:6A:41,-70,1,meetingRoom
9208,08:4F:A9:39:68:21,-70,11,meetingRoom
9208,08:4F:A9:2D:8A:41,-71,1,meetingRoom
9208,08:4F:A9:2D:8A:A1,-72,6,meetingRoom
9208,70:EA:1A:22:A9:41,-74,6,meetingRoom
9208,08:4F:A9:30:00:01,-78,11,meetingRoom
9208,70:EA:1A:22:9B:81,-87,6,meetingRoom
9208,00:A3:8E:4E:29:A1,-88,1,meetingRoom
14232,70:EA:1A:22:9F:E1,-58,1,meetingRoom
14232,08:4F:A9:39:68:21,-69,11,meetingRoom
14232,08:4F:A9:2D:8A:41,-71,1,meetingRoom
14232,70:EA:1A:22:A9:41,-72,6,meetingRoom
14232,08:4F:A9:39:6A:41,-73,1,meetingRoom
14232,08:4F:A9:2D:8A:A1,-75,6,meetingRoom
14232,08:4F:A9:30:00:01,-78,11,meetingRoom
19244,70:EA:1A:22:9F:E1,-65,1,meetingRoom
19244,08:4F:A9:39:68:21,-65,11,meetingRoom
19244,08:4F:A9:39:6A:41,-70,1,meetingRoom
19244,70:EA:1A:22:A9:41,-70,6,meetingRoom
19244,08:4F:A9:2D:8A:41,-71,1,meetingRoom
19244,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
19244,08:4F:A9:30:00:01,-85,11,meetingRoom
19244,70:EA:1A:22:96:21,-88,11,meetingRoom
24257,70:EA:1A:22:9F:E1,-64,1,meetingRoom
24257,08:4F:A9:39:6A:41,-68,1,meetingRoom
24257,08:4F:A9:39:68:21,-68,11,meetingRoom
24257,08:4F:A9:2D:8A:41,-75,1,meetingRoom
24257,70:EA:1A:22:A9:41,-75,6,meetingRoom
24257,08:4F:A9:2D:8A:A1,-76,6,meetingRoom
24257,08:4F:A9:30:00:01,-80,11,meetingRoom
24257,00:A3:8E:4E:29:A1,-86,1,meetingRoom
29271,70:EA:1A:22:9F:E1,-62,1,meetingRoom
29271,08:4F:A9:39:68:21,-63,11,meetingRoom
29271,08:4F:A9:39:6A:41,-69,1,meetingRoom
29271,08:4F:A9:2D:8A:41,-71,1,meetingRoom
29271,08:4F:A9:2D:8A:A1,-73,6,meetingRoom
29271,70:EA:1A:22:A9:41,-82,6,meetingRoom
29271,08:4F:A9:30:00:01,-82,11,meetingRoom
29271,00:A3:8E:4E:29:A1,-88,1,meetingRoom
34284,70:EA:1A:22:9F:E1,-62,1,meetingRoom
34284,08:4F:A9:39:6A:41,-68,1,meetingRoom
34284,08:4F:A9:39:68:21,-68,11,meetingRoom
34284,08:4F:A9:2D:8A:41,-72,1,meetingRoom
34284,08:4F:A9:2D:8A:A1,-76,6,meetingRoom
34284,70:EA:1A:22:A9:41,-78,6,meetingRoom
34284,08:4F:A9:30:00:01,-81,11,meetingRoom
34284,00:A3:8E:4E:29:A1,-85,1,meetingRoom
39298,70:EA:1A:22:9F:E1,-61,1,meetingRoom
39298,08:4F:A9:39:68:21,-64,11,meetingRoom
39298,08:4F:A9:39:6A:41,-69,1,meetingRoom
39298,08:4F:A9:2D:8A:A1,-73,6,meetingRoom
39298,08:4F:A9:2D:8A:41,-74,1,meetingRoom
39298,70:EA:1A:22:A9:41,-75,6,meetingRoom
39298,00:A3:8E:4E:29:A1,-86,1,meetingRoom
39298,08:4F:A9:30:00:01,-88,11,meetingRoom
44311,70:EA:1A:22:9F:E1,-60,1,meetingRoom
44311,08:4F:A9:39:68:21,-63,11,meetingRoom
44311,08:4F:A9:39:6A:41,-67,1,meetingRoom
44311,70:EA:1A:22:A9:41,-69,6,meetingRoom
44311,08:4F:A9:2D:8A:A1,-73,6,meetingRoom
44311,08:4F:A9:2D:8A:41,-76,1,meetingRoom
44311,08:4F:A9:30:00:01,-87,11,meetingRoom
49325,70:EA:1A:22:9F:E1,-59,1,meetingRoom
49325,08:4F:A9:39:6A:41,-68,1,meetingRoom
49325,70:EA:1A:22:A9:41,-68,6,meetingRoom
49325,08:4F:A9:39:68:21,-68,11,meetingRoom
49325,08:4F:A9:2D:8A:41,-72,1,meetingRoom
49325,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
49325,08:4F:A9:30:00:01,-81,11,meetingRoom
49325,00:A3:8E:4E:29:A1,-86,1,meetingRoom
54137,70:EA:1A:22:9F:E1,-59,1,meetingRoom
54137,08:4F:A9:39:68:21,-64,11,meetingRoom
54137,08:4F:A9:39:6A:41,-68,1,meetingRoom
54137,70:EA:1A:22:A9:41,-69,6,meetingRoom
54137,08:4F:A9:2D:8A:41,-71,1,meetingRoom
54137,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
54137,00:A3:8E:4E:29:A1,-85,1,meetingRoom
54137,08:4F:A9:30:00:01,-86,11,meetingRoom
59150,70:EA:1A:22:9F:E1,-59,1,meetingRoom
59150,08:4F:A9:39:68:21,-60,11,meetingRoom
59150,08:4F:A9:39:6A:41,-68,1,meetingRoom
59150,08:4F:A9:2D:8A:A1,-72,6,meetingRoom
59150,08:4F:A9:2D:8A:41,-73,1,meetingRoom
59150,70:EA:1A:22:A9:41,-73,6,meetingRoom
59150,00:A3:8E:4E:29:A1,-86,1,meetingRoom
59150,08:4F:A9:30:00:01,-87,11,meetingRoom
64163,70:EA:1A:22:9F:E1,-60,1,meetingRoom
64163,08:4F:A9:39:68:21,-64,11,meetingRoom
64163,08:4F:A9:2D:8A:41,-70,1,meetingRoom
64163,08:4F:A9:39:6A:41,-70,1,meetingRoom
64163,08:4F:A9:2D:8A:A1,-71,6,meetingRoom
64163,70:EA:1A:22:A9:41,-71,6,meetingRoom
64163,08:4F:A9:30:00:01,-75,11,meetingRoom
64163,00:A3:8E:4E:29:A1,-87,1,meetingRoom
69177,08:4F:A9:39:68:21,-61,11,meetingRoom
69177,70:EA:1A:22:9F:E1,-64,1,meetingRoom
69177,08:4F:A9:39:6A:41,-71,1,meetingRoom
69177,08:4F:A9:2D:8A:A1,-72,6,meetingRoom
69177,70:EA:1A:22:A9:41,-75,6,meetingRoom
69177,08:4F:A9:2D:8A:41,-76,1,meetingRoom
69177,08:4F:A9:30:00:01,-82,11,meetingRoom
69177,00:A3:8E:4E:29:A1,-86,1,meetingRoom
74190,70:EA:1A:22:9F:E1,-57,1,meetingRoom
74190,08:4F:A9:39:68:21,-60,11,meetingRoom
74190,08:4F:A9:39:6A:41,-71,1,meetingRoom
74190,08:4F:A9:2D:8A:A1,-71,6,meetingRoom
74190,08:4F:A9:2D:8A:41,-72,1,meetingRoom
74190,70:EA:1A:22:A9:41,-76,6,meetingRoom
74190,08:4F:A9:30:00:01,-86,11,meetingRoom
74190,4C:77:6D:10:31:E1,-88,6,meetingRoom
79204,08:4F:A9:39:68:21,-65,11,meetingRoom
79204,70:EA:1A:22:9F:E1,-66,1,meetingRoom
79204,08:4F:A9:39:6A:41,-69,1,meetingRoom
79204,08:4F:A9:2D:8A:41,-72,1,meetingRoom
79204,70:EA:1A:22:A9:41,-73,6,meetingRoom
79204,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
79204,08:4F:A9:30:00:01,-81,11,meetingRoom
79204,00:A3:8E:4E:29:A1,-85,1,meetingRoom
84216,70:EA:1A:22:9F:E1,-62,1,meetingRoom
84216,08:4F:A9:39:68:21,-66,11,meetingRoom
84216,08:4F:A9:39:6A:41,-70,1,meetingRoom
84216,08:4F:A9:2D:8A:A1,-70,6,meetingRoom
84216,08:4F:A9:2D:8A:41,-73,1,meetingRoom
84216,70:EA:1A:22:A9:41,-73,6,meetingRoom
84216,08:4F:A9:30:00:01,-83,11,meetingRoom
84216,00:A3:8E:4E:29:A1,-89,1,meetingRoom
89229,70:EA:1A:22:9F:E1,-62,1,meetingRoom
89229,08:4F:A9:39:68:21,-68,11,meetingRoom
89229,08:4F:A9:2D:8A:41,-70,1,meetingRoom
89229,08:4F:A9:39:6A:41,-70,1,meetingRoom
89229,08:4F:A9:2D:8A:A1,-72,6,meetingRoom
89229,70:EA:1A:22:A9:41,-74,6,meetingRoom
89229,08:4F:A9:30:00:01,-76,11,meetingRoom
89229,00:A3:8E:4E:29:A1,-89,1,meetingRoom
94242,70:EA:1A:22:9F:E1,-61,1,meetingRoom
94242,08:4F:A9:39:68:21,-67,11,meetingRoom
94242,08:4F:A9:39:6A:41,-70,1,meetingRoom
94242,08:4F:A9:2D:8A:41,-74,1,meetingRoom
94242,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
94242,70:EA:1A:22:A9:41,-76,6,meetingRoom
94242,08:4F:A9:30:00:01,-79,11,meetingRoom
94242,00:A3:8E:4E:29:A1,-87,1,meetingRoom
99055,08:4F:A9:39:68:21,-62,11,meetingRoom
99055,70:EA:1A:22:9F:E1,-65,1,meetingRoom
99055,08:4F:A9:39:6A:41,-69,1,meetingRoom
99055,70:EA:1A:22:A9:41,-72,6,meetingRoom
99055,08:4F:A9:2D:8A:41,-74,1,meetingRoom
99055,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
99055,08:4F:A9:30:00:01,-83,11,meetingRoom
99055,00:A3:8E:4E:29:A1,-88,1,meetingRoom
104069,70:EA:1A:22:9F:E1,-61,1,meetingRoom
104069,08:4F:A9:39:68:21,-61,11,meetingRoom
104069,70:EA:1A:22:A9:41,-70,6,meetingRoom
104069,08:4F:A9:39:6A:41,-71,1,meetingRoom
104069,08:4F:A9:2D:8A:41,-71,1,meetingRoom
104069,08:4F:A9:2D:8A:A1,-74,6,meetingRoom
104069,08:4F:A9:30:00:01,-84,11,meetingRoom
104069,00:A3:8E:4E:29:A1,-85,1,meetingRoom
104069,70:EA:1A:22:9B:81,-87,6,meetingRoom
104069,70:EA:1A:22:96:21,-89,11,meetingRoom
109092,70:EA:1A:22:A9:41,-59,6,meetingRoom
109092,70:EA:1A:22:9F:E1,-70,1,meetingRoom
109092,08:4F:A9:2D:8A:41,-72,1,meetingRoom
109092,08:4F:A9:39:68:21,-72,11,meetingRoom
109092,70:EA:1A:22:9B:81,-76,6,meetingRoom
109092,08:4F:A9:39:6A:41,-82,1,meetingRoom
109092,00:27:E3:29:E8:80,-82,6,meetingRoom
109092,70:EA:1A:22:96:21,-84,11,meetingRoom
114106,70:EA:1A:22:A9:41,-60,6,meetingRoom
114106,70:EA:1A:22:9F:E1,-77,1,meetingRoom
114106,00:27:E3:29:E8:80,-78,6,meetingRoom
114106,08:4F:A9:39:68:21,-78,11,meetingRoom
114106,70:EA:1A:22:9B:81,-80,6,meetingRoom
114106,08:4F:A9:2D:8A:41,-84,1,meetingRoom
114106,00:A3:8E:60:F3:80,-85,1,meetingRoom
114106,70:EA:1A:22:96:21,-85,11,meetingRoom
