timestamp_ms,mac,rssi,channel,location_label
3992,70:EA:1A:22:A9:41,-60,6,roboticsLab
3992,00:A3:8E:67:4C:81,-74,1,roboticsLab
3992,00:27:E3:29:E8:80,-76,6,roboticsLab
3992,08:4F:A9:39:6A:41,-77,1,roboticsLab
3992,08:4F:A9:2D:77:41,-83,6,roboticsLab
3992,08:4F:A9:30:00:01,-83,11,roboticsLab
3992,00:A3:8E:60:EB:E1,-84,11,roboticsLab
3992,00:A3:8E:4E:29:A1,-87,1,roboticsLab
3992,70:EA:1A:22:A5:A1,-89,11,roboticsLab
8815,70:EA:1A:22:A9:41,-53,6,roboticsLab
8815,00:A3:8E:67:4C:81,-74,1,roboticsLab
8815,00:27:E3:29:E8:80,-74,6,roboticsLab
8815,08:4F:A9:39:6A:41,-77,1,roboticsLab
8815,08:4F:A9:2D:77:41,-80,6,roboticsLab
8815,08:4F:A9:30:00:01,-83,11,roboticsLab
8815,00:A3:8E:60:EB:E1,-83,11,roboticsLab
8815,00:A3:8E:4E:29:A1,-90,1,roboticsLab
13629,70:EA:1A:22:A9:41,-61,6,roboticsLab
13629,00:27:E3:29:E8:80,-72,6,roboticsLab
13629,00:A3:8E:67:4C:81,-76,1,roboticsLab
13629,08:4F:A9:39:6A:41,-77,1,roboticsLab
13629,00:A3:8E:60:EB:E1,-85,11,roboticsLab
13629,08:4F:A9:30:00:01,-85,11,roboticsLab
13629,08:4F:A9:2D:77:41,-86,6,roboticsLab
13629,70:EA:1A:22:A5:A1,-87,11,roboticsLab
18443,70:EA:1A:22:A9:41,-55,6,roboticsLab
18443,00:A3:8E:67:4C:81,-73,1,roboticsLab
18443,08:4F:A9:39:6A:41,-79,1,roboticsLab
18443,08:4F:A9:2D:77:41,-79,6,roboticsLab
18443,00:27:E3:29:E8:80,-82,6,roboticsLab
18443,70:EA:1A:22:9B:81,-83,6,roboticsLab
18443,08:4F:A9:30:00:01,-84,11,roboticsLab
18443,70:EA:1A:22:A5:A1,-85,11,roboticsLab
18443,08:4F:A9:39:68:21,-86,11,roboticsLab
23267,70:EA:1A:22:A9:41,-52,6,roboticsLab
23267,00:A3:8E:67:4C:81,-70,1,roboticsLab
23267,08:4F:A9:39:6A:41,-75,1,roboticsLab
23267,08:4F:A9:2D:77:41,-78,6,roboticsLab
23267,00:27:E3:29:E8:80,-80,6,roboticsLab
23267,08:4F:A9:30:00:01,-81,11,roboticsLab
23267,70:EA:1A:22:9B:81,-82,6,roboticsLab
23267,00:A3:8E:60:EB:E1,-87,11,roboticsLab
23267,70:EA:1A:22:A5:A1,-88,11,roboticsLab
23267,08:4F:A9:39:68:21,-89,11,roboticsLab
28291,70:EA:1A:22:A9:41,-52,6,roboticsLab
28291,00:A3:8E:67:4C:81,-61,1,roboticsLab
28291,08:4F:A9:2D:77:41,-77,6,roboticsLab
28291,08:4F:A9:30:00:01,-77,11,roboticsLab
28291,08:4F:A9:39:6A:41,-82,1,roboticsLab
28291,00:A3:8E:60:EB:E1,-84,11,roboticsLab
28291,70:EA:1A:22:8F:E1,-85,1,roboticsLab
28291,70:EA:1A:22:A5:A1,-85,11,roboticsLab
28291,08:4F:A9:39:68:21,-89,11,roboticsLab
28291,70:EA:1A:22:9F:21,-90,11,roboticsLab
33315,70:EA:1A:22:A9:41,-51,6,roboticsLab
33315,00:A3:8E:67:4C:81,-61,1,roboticsLab
33315,08:4F:A9:39:6A:41,-74,1,roboticsLab
33315,08:4F:A9:30:00:01,-79,11,roboticsLab
33315,00:27:E3:29:E8:80,-81,6,roboticsLab
33315,00:A3:8E:4E:29:A1,-82,1,roboticsLab
