timestamp_ms,mac,rssi,channel,location_label
etimestamp,mac,rssi,channel,location_label
3993,00:27:E3:29:E8:80,-66,6,systemsLab2
3993,00:A3:8E:60:F3:80,-71,1,systemsLab2
3993,00:27:E3:29:CD:E0,-79,6,systemsLab2
3993,00:A3:8E:67:4C:81,-80,1,systemsLab2
3993,CC:DB:93:65:2D:20,-80,1,systemsLab2
3993,08:4F:A9:2D:77:41,-82,6,systemsLab2
3993,00:27:E3:29:D1:20,-83,6,systemsLab2
3993,00:27:E3:29:DC:00,-86,1,systemsLab2
3993,00:A3:8E:60:EB:E1,-88,11,systemsLab2
8806,00:A3:8E:60:F3:80,-67,1,systemsLab2
8806,00:27:E3:29:E8:80,-77,6,systemsLab2
8806,00:A3:8E:67:4C:81,-82,1,systemsLab2
8806,00:27:E3:29:CE:40,-84,1,systemsLab2
8806,00:27:E3:29:CD:E0,-85,6,systemsLab2
8806,00:27:E3:29:D1:20,-86,6,systemsLab2
8806,00:A3:8E:60:EB:E1,-88,11,systemsLab2
13619,00:A3:8E:60:F3:80,-60,1,systemsLab2
13619,00:27:E3:29:E8:80,-69,6,systemsLab2
13619,00:A3:8E:67:4C:81,-82,1,systemsLab2
13619,00:27:E3:29:D1:20,-84,6,systemsLab2
13619,70:EA:1A:65:2E:A1,-87,11,systemsLab2
13619,00:A3:8E:60:EB:E1,-88,11,systemsLab2
18432,00:A3:8E:60:F3:80,-65,1,systemsLab2
18432,00:27:E3:29:E8:80,-75,6,systemsLab2
18432,00:27:E3:29:D1:20,-81,6,systemsLab2
18432,70:EA:1A:65:2E:A1,-89,11,systemsLab2
23235,00:A3:8E:60:F3:80,-61,1,systemsLab2
23235,00:27:E3:29:E8:80,-74,6,systemsLab2
23235,00:27:E3:29:D1:20,-83,6,systemsLab2
23235,00:A3:8E:67:4C:81,-86,1,systemsLab2
28038,00:A3:8E:60:F3:80,-65,1,systemsLab2
28038,00:27:E3:29:E8:80,-73,6,systemsLab2
28038,00:27:E3:29:D1:20,-83,6,systemsLab2
28038,00:A3:8E:67:4C:81,-87,1,systemsLab2
28038,70:EA:1A:65:2E:A1,-87,11,systemsLab2
32841,00:A3:8E:60:F3:80,-67,1,systemsLab2
32841,00:27:E3:29:E8:80,-74,6,systemsLab2
32841,00:27:E3:29:D1:20,-84,6,systemsLab2
32841,00:A3:8E:67:4C:81,-87,1,systemsLab2
32841,70:EA:1A:65:2E:A1,-87,11,systemsLab2
37644,00:A3:8E:60:F3:80,-67,1,systemsLab2
37644,00:27:E3:29:E8:80,-77,6,systemsLab2
37644,00:27:E3:29:D1:20,-81,6,systemsLab2
37644,70:EA:1A:65:2E:A1,-88,11,systemsLab2
42447,00:A3:8E:60:F3:80,-61,1,systemsLab2
42447,00:27:E3:29:E8:80,-77,6,systemsLab2
42447,00:27:E3:29:D1:20,-79,6,systemsLab2
42447,70:EA:1A:65:2E:A1,-89,11,systemsLab2
47250,00:A3:8E:60:F3:80,-60,1,systemsLab2
47250,00:27:E3:29:E8:80,-75,6,systemsLab2
47250,00:27:E3:29:D1:20,-82,6,systemsLab2
52043,00:A3:8E:60:F3:80,-64,1,systemsLab2
52043,00:27:E3:29:D1:20,-78,6,systemsLab2
52043,00:27:E3:29:E8:80,-82,6,systemsLab2
52043,CC:DB:93:65:2D:20,-87,1,systemsLab2
52043,70:EA:1A:65:2E:A1,-92,11,systemsLab2
56846,00:A3:8E:60:F3:80,-64,1,systemsLab2
56846,00:27:E3:29:E8:80,-77,6,systemsLab2
56846,00:27:E3:29:D1:20,-80,6,systemsLab2
56846,00:A3:8E:60:EB:E1,-89,11,systemsLab2
61649,00:A3:8E:60:F3:80,-69,1,systemsLab2
61649,00:27:E3:29:E8:80,-79,6,systemsLab2
61649,00:27:E3:29:D1:20,-82,6,systemsLab2
66442,00:A3:8E:60:F3:80,-62,1,systemsLab2
66442,00:27:E3:29:E8:80,-77,6,systemsLab2
66442,00:27:E3:29:D1:20,-81,6,systemsLab2
71235,00:A3:8E:60:F3:80,-63,1,systemsLab2
71235,00:27:E3:29:E8:80,-80,6,systemsLab2
71235,00:27:E3:29:D1:20,-82,6,systemsLab2
71235,00:A3:8E:60:EB:E1,-90,11,systemsLab2
76038,00:A3:8E:60:F3:80,-62,1,systemsLab2
76038,00:27:E3:29:E8:80,-79,6,systemsLab2
76038,00:27:E3:29:D1:20,-80,6,systemsLab2
80831,00:A3:8E:60:F3:80,-59,1,systemsLab2
80831,00:27:E3:29:D1:20,-79,6,systemsLab2
80831,00:27:E3:29:E8:80,-79,6,systemsLab2
80831,70:EA:1A:65:2E:A1,-90,11,systemsLab2
85634,00:A3:8E:60:F3:80,-59,1,systemsLab2
85634,00:27:E3:29:E8:80,-78,6,systemsLab2
85634,00:27:E3:29:D1:20,-79,6,systemsLab2
90427,00:A3:8E:60:F3:80,-61,1,systemsLab2
90427,00:27:E3:29:E8:80,-76,6,systemsLab2
90427,00:27:E3:29:D1:20,-80,6,systemsLab2
90427,70:EA:1A:65:2E:A1,-86,11,systemsLab2
95230,00:A3:8E:60:F3:80,-62,1,systemsLab2
95230,00:27:E3:29:E8:80,-74,6,systemsLab2
95230,00:27:E3:29:D1:20,-81,6,systemsLab2
95230,00:A3:8E:67:4C:81,-84,1,systemsLab2
95230,70:EA:1A:65:2E:A1,-87,11,systemsLab2
95230,08:4F:A9:2D:77:41,-90,6,systemsLab2
100043,00:A3:8E:60:F3:80,-63,1,systemsLab2
100043,00:27:E3:29:E8:80,-74,6,systemsLab2
100043,00:27:E3:29:D1:20,-81,6,systemsLab2
100043,00:A3:8E:67:4C:81,-85,1,systemsLab2
100043,70:EA:1A:65:2E:A1,-87,11,systemsLab2
100043,00:A3:8E:65:44:00,-89,11,systemsLab2
104856,00:A3:8E:60:F3:80,-60,1,systemsLab2
104856,00:27:E3:29:E8:80,-73,6,systemsLab2
104856,00:27:E3:29:D1:20,-79,6,systemsLab2
104856,00:A3:8E:67:4C:81,-85,1,systemsLab2
104856,70:EA:1A:65:2E:A1,-87,11,systemsLab2
109659,00:A3:8E:60:F3:80,-63,1,systemsLab2
109659,00:27:E3:29:E8:80,-72,6,systemsLab2
109659,00:27:E3:29:D1:20,-79,6,systemsLab2
109659,00:A3:8E:67:4C:81,-85,1,systemsLab2
109659,00:A3:8E:65:44:00,-87,11,systemsLab2
109659,70:EA:1A:65:2E:A1,-89,11,systemsLab2
114472,00:A3:8E:60:F3:80,-59,1,systemsLab2
114472,00:27:E3:29:E8:80,-77,6,systemsLab2
114472,00:A3:8E:67:4C:81,-81,1,systemsLab2
114472,00:27:E3:29:D1:20,-81,6,systemsLab2
114472,00:A3:8E:65:44:00,-87,11,systemsLab2
114472,70:EA:1A:65:2E:A1,-88,11,systemsLab2
114472,00:A3:8E:60:EB:E1,-90,11,systemsLab2
119285,00:A3:8E:60:F3:80,-59,1,systemsLab2
119285,00:27:E3:29:E8:80,-78,6,systemsLab2
119285,70:EA:1A:65:2E:A1,-80,11,systemsLab2
119285,00:A3:8E:67:4C:81,-83,1,systemsLab2
119285,00:27:E3:29:D1:20,-84,6,systemsLab2
119285,00:A3:8E:65:44:00,-85,11,systemsLab2
119285,00:A3:8E:60:EB:E1,-87,11,systemsLab2
124098,00:A3:8E:60:F3:80,-73,1,systemsLab2
124098,00:A3:8E:65:44:00,-78,11,systemsLab2
